file_id,pcap_path,metadata_path,raw_source_type,raw_source_path,traffic_class,source,capture_date,session_id,environment_id,device_id,dataset_id,capture_duration,packet_count,byte_count,flow_count,validation_status,data_origin,capture_source,notes
web_001,data/raw/pcap/web_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/web_001.pcap,Web,local_controlled,2026-08-01,sess_web_01,lab_env_a,workstation_01,dataset_v1,12.5,100,50000,10,PASS,synthetic,SYNTHETIC_TEST,Synthetic HTTPS browsing session
web_002,data/raw/pcap/web_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/web_002.pcap,Web,local_controlled,2026-08-02,sess_web_02,lab_env_a,workstation_01,dataset_v1,14.2,120,65000,12,PASS,synthetic,SYNTHETIC_TEST,Synthetic TLS 1.3 web queries
video_001,data/raw/pcap/video_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/video_001.pcap,Video,local_controlled,2026-08-03,sess_video_01,lab_env_a,workstation_01,dataset_v1,25.0,300,450000,15,PASS,synthetic,SYNTHETIC_TEST,Synthetic streaming video stream
video_002,data/raw/pcap/video_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/video_002.pcap,Video,local_controlled,2026-08-04,sess_video_02,lab_env_b,workstation_02,dataset_v1,28.4,350,520000,18,PASS,synthetic,SYNTHETIC_TEST,Synthetic HD video buffering
msg_001,data/raw/pcap/msg_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/msg_001.pcap,Messaging,local_controlled,2026-08-05,sess_msg_01,lab_env_a,workstation_01,dataset_v1,8.0,60,15000,8,PASS,synthetic,SYNTHETIC_TEST,Synthetic instant messaging exchange
msg_002,data/raw/pcap/msg_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/msg_002.pcap,Messaging,local_controlled,2026-08-06,sess_msg_02,lab_env_b,workstation_02,dataset_v1,9.5,75,20000,10,PASS,synthetic,SYNTHETIC_TEST,Synthetic chat heartbeat traffic
voip_001,data/raw/pcap/voip_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/voip_001.pcap,VoIP,local_controlled,2026-08-07,sess_voip_01,lab_env_a,workstation_01,dataset_v1,18.0,200,80000,12,PASS,synthetic,SYNTHETIC_TEST,Synthetic encrypted voice call
voip_002,data/raw/pcap/voip_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/voip_002.pcap,VoIP,local_controlled,2026-08-08,sess_voip_02,lab_env_b,workstation_02,dataset_v1,19.2,220,90000,14,PASS,synthetic,SYNTHETIC_TEST,Synthetic SIP/RTP audio stream
file_001,data/raw/pcap/file_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/file_001.pcap,File Transfer,local_controlled,2026-08-09,sess_file_01,lab_env_a,workstation_01,dataset_v1,35.0,400,600000,20,PASS,synthetic,SYNTHETIC_TEST,Synthetic large encrypted transfer
file_002,data/raw/pcap/file_002.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/file_002.pcap,File Transfer,local_controlled,2026-08-10,sess_file_02,lab_env_b,workstation_02,dataset_v1,32.0,380,580000,18,PASS,synthetic,SYNTHETIC_TEST,Synthetic multi-chunk SFTP transfer
other_001,data/raw/pcap/other_001.pcap,,SYNTHETIC_FIXTURE,data/raw/pcap/other_001.pcap,Other,local_controlled,2026-08-11,sess_other_01,lab_env_a,workstation_01,dataset_v1,6.0,50,12000,6,PASS,synthetic,SYNTHETIC_TEST,Synthetic background telemetry
