flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,pkt_size_median,pkt_size_p10,pkt_size_p25,pkt_size_p75,pkt_size_p90,pkt_size_p95,fwd_pkt_size_mean,fwd_pkt_size_std,fwd_pkt_size_min,fwd_pkt_size_max,fwd_pkt_size_median,fwd_pkt_size_p10,fwd_pkt_size_p25,fwd_pkt_size_p75,fwd_pkt_size_p90,fwd_pkt_size_p95,bwd_pkt_size_mean,bwd_pkt_size_std,bwd_pkt_size_min,bwd_pkt_size_max,bwd_pkt_size_median,bwd_pkt_size_p10,bwd_pkt_size_p25,bwd_pkt_size_p75,bwd_pkt_size_p90,bwd_pkt_size_p95,iat_mean,iat_std,iat_min,iat_max,iat_median,iat_p10,iat_p25,iat_p75,iat_p90,iat_p95,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_iat_median,fwd_iat_p10,fwd_iat_p25,fwd_iat_p75,fwd_iat_p90,fwd_iat_p95,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_iat_median,bwd_iat_p10,bwd_iat_p25,bwd_iat_p75,bwd_iat_p90,bwd_iat_p95,fwd_packet_count,bwd_packet_count,fwd_byte_count,bwd_byte_count,packet_ratio,byte_ratio,direction_switch_count,packets_per_sec,bytes_per_sec,fwd_packets_per_sec,bwd_packets_per_sec,burst_count,mean_burst_packets,max_burst_packets,mean_burst_bytes,max_burst_bytes,mean_burst_duration,max_burst_duration,burst_density,flow_duration,total_packets,total_bytes,flow_rate_packets,flow_rate_bytes
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,233.671262,79.786974,40.000000,532.000000,232.000000,129.000000,179.000000,287.000000,339.000000,365.000000,233.671262,79.786974,40.000000,532.000000,232.000000,129.000000,179.000000,287.000000,339.000000,365.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026272,0.026548,0.000010,0.238955,0.018367,0.002894,0.007918,0.035911,0.059569,0.077869,0.026272,0.026548,0.000010,0.238955,0.018367,0.002894,0.007918,0.035911,0.059569,0.077869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2321.000000,0.000000,542351.000000,0.000000,2321.000000,542351.000000,0.000000,38.902135,9090.311037,38.902135,0.000000,1.000000,2321.000000,2321.000000,542351.000000,542351.000000,60.950719,60.950719,38.902135,59.662535,2321.000000,542351.000000,38.902135,9090.311037
20260823_144333_web_001_5c95_flow_00001,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,1064.608427,319.113307,40.000000,1420.000000,1111.500000,615.000000,844.000000,1380.750000,1420.000000,1420.000000,1064.608427,319.113307,40.000000,1420.000000,1111.500000,615.000000,844.000000,1380.750000,1420.000000,1420.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015947,0.015772,0.000001,0.119968,0.011055,0.001679,0.004666,0.021890,0.036367,0.047856,0.015947,0.015772,0.000001,0.119968,0.011055,0.001679,0.004666,0.021890,0.036367,0.047856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3726.000000,0.000000,3966731.000000,0.000000,3726.000000,3966731.000000,0.000000,62.506845,66545.313429,62.506845,0.000000,1.000000,3726.000000,3726.000000,3966731.000000,3966731.000000,59.403685,59.403685,62.506845,59.609472,3726.000000,3966731.000000,62.506845,66545.313429
20260823_145151_web_001_0bbf_flow_00000,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,276.361742,91.972893,40.000000,604.000000,278.000000,147.800000,219.000000,333.250000,401.300000,433.950000,276.361742,91.972893,40.000000,604.000000,278.000000,147.800000,219.000000,333.250000,401.300000,433.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124383,0.121471,0.000531,0.802874,0.088223,0.016463,0.033124,0.167546,0.301511,0.358800,0.124383,0.121471,0.000531,0.802874,0.088223,0.016463,0.033124,0.167546,0.301511,0.358800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,528.000000,0.000000,145919.000000,0.000000,528.000000,145919.000000,0.000000,8.809022,2434.476682,8.809022,0.000000,1.000000,528.000000,528.000000,145919.000000,145919.000000,65.549994,65.549994,8.809022,59.938549,528.000000,145919.000000,8.809022,2434.476682
20260823_145151_web_001_0bbf_flow_00001,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,225.002066,78.122256,40.000000,458.000000,223.500000,125.300000,174.750000,272.000000,323.700000,368.400000,225.002066,78.122256,40.000000,458.000000,223.500000,125.300000,174.750000,272.000000,323.700000,368.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121728,0.117152,0.000074,0.724918,0.083868,0.014205,0.037940,0.172155,0.275659,0.340113,0.121728,0.117152,0.000074,0.724918,0.083868,0.014205,0.037940,0.172155,0.275659,0.340113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,484.000000,0.000000,108901.000000,0.000000,484.000000,108901.000000,0.000000,8.076529,1817.235788,8.076529,0.000000,1.000000,484.000000,484.000000,108901.000000,108901.000000,58.794829,58.794829,8.076529,59.926731,484.000000,108901.000000,8.076529,1817.235788
20260823_145551_web_001_da0c_flow_00000,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,250.990369,90.637080,40.000000,510.000000,250.000000,137.200000,187.000000,312.000000,368.000000,394.700000,250.990369,90.637080,40.000000,510.000000,250.000000,137.200000,187.000000,312.000000,368.000000,394.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094872,0.096494,0.000009,0.601303,0.067005,0.009386,0.025155,0.135312,0.211197,0.300717,0.094872,0.096494,0.000009,0.601303,0.067005,0.009386,0.025155,0.135312,0.211197,0.300717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,623.000000,0.000000,156367.000000,0.000000,623.000000,156367.000000,0.000000,10.477205,2629.677524,10.477205,0.000000,1.000000,623.000000,623.000000,156367.000000,156367.000000,59.010192,59.010192,10.477205,59.462424,623.000000,156367.000000,10.477205,2629.677524
20260823_145551_web_001_da0c_flow_00001,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,550.668011,191.789087,40.000000,1107.000000,559.000000,304.000000,412.250000,687.250000,803.000000,855.550000,550.668011,191.789087,40.000000,1107.000000,559.000000,304.000000,412.250000,687.250000,803.000000,855.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079608,0.077414,0.000242,0.498431,0.057408,0.008709,0.021559,0.111419,0.183933,0.233288,0.079608,0.077414,0.000242,0.498431,0.057408,0.008709,0.021559,0.111419,0.183933,0.233288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,744.000000,0.000000,409697.000000,0.000000,744.000000,409697.000000,0.000000,12.525229,6897.243119,12.525229,0.000000,1.000000,744.000000,744.000000,409697.000000,409697.000000,59.148574,59.148574,12.525229,59.400110,744.000000,409697.000000,12.525229,6897.243119
20260823_145946_web_001_c866_flow_00000,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,318.207524,112.090074,40.000000,691.000000,320.000000,171.400000,244.000000,392.000000,458.000000,498.000000,318.207524,112.090074,40.000000,691.000000,320.000000,171.400000,244.000000,392.000000,458.000000,498.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037854,0.036720,0.000020,0.226322,0.026473,0.003826,0.009935,0.054111,0.091368,0.113647,0.037854,0.036720,0.000020,0.226322,0.026473,0.003826,0.009935,0.054111,0.091368,0.113647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1595.000000,0.000000,507541.000000,0.000000,1595.000000,507541.000000,0.000000,26.851279,8544.279023,26.851279,0.000000,1.000000,1595.000000,1595.000000,507541.000000,507541.000000,60.339086,60.339086,26.851279,59.401267,1595.000000,507541.000000,26.851279,8544.279023
20260823_145946_web_001_c866_flow_00001,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,357.025360,119.577324,40.000000,754.000000,361.000000,194.400000,274.000000,439.000000,509.000000,554.300000,357.025360,119.577324,40.000000,754.000000,361.000000,194.400000,274.000000,439.000000,509.000000,554.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033844,0.033889,0.000003,0.250880,0.023265,0.003278,0.009528,0.047700,0.078420,0.100777,0.033844,0.033889,0.000003,0.250880,0.023265,0.003278,0.009528,0.047700,0.078420,0.100777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1735.000000,0.000000,619439.000000,0.000000,1735.000000,619439.000000,0.000000,29.202276,10425.952982,29.202276,0.000000,1.000000,1735.000000,1735.000000,619439.000000,619439.000000,58.685433,58.685433,29.202276,59.413178,1735.000000,619439.000000,29.202276,10425.952982
20260823_150110_web_001_9490_flow_00000,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,823.784562,289.525969,40.000000,1420.000000,828.000000,446.200000,632.000000,1024.000000,1211.000000,1296.000000,823.784562,289.525969,40.000000,1420.000000,828.000000,446.200000,632.000000,1024.000000,1211.000000,1296.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025437,0.025009,0.000018,0.199232,0.017637,0.002748,0.007773,0.035406,0.058080,0.074678,0.025437,0.025009,0.000018,0.199232,0.017637,0.002748,0.007773,0.035406,0.058080,0.074678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2293.000000,0.000000,1888938.000000,0.000000,2293.000000,1888938.000000,0.000000,38.583580,31784.557391,38.583580,0.000000,1.000000,2293.000000,2293.000000,1888938.000000,1888938.000000,58.302605,58.302605,38.583580,59.429426,2293.000000,1888938.000000,38.583580,31784.557391
20260823_150110_web_001_9490_flow_00001,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,251.281300,88.562201,40.000000,527.000000,252.000000,134.000000,189.000000,309.000000,362.900000,401.800000,251.281300,88.562201,40.000000,527.000000,252.000000,134.000000,189.000000,309.000000,362.900000,401.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046644,0.047651,0.000024,0.536997,0.031991,0.005184,0.013738,0.064487,0.104614,0.135491,0.046644,0.047651,0.000024,0.536997,0.031991,0.005184,0.013738,0.064487,0.104614,0.135491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1262.000000,0.000000,317117.000000,0.000000,1262.000000,317117.000000,0.000000,21.255141,5341.019466,21.255141,0.000000,1.000000,1262.000000,1262.000000,317117.000000,317117.000000,58.817908,58.817908,21.255141,59.373871,1262.000000,317117.000000,21.255141,5341.019466
