flow_id,file_id,start_time,last_seen,duration,protocol,initiator_port,port_a,port_b,total_packets,packet_timestamps_json,packet_lengths_json,packet_directions_json,tls_version,tls_cipher_suites_count,tls_extensions_count,tls_sni_present,traffic_class
web_001_flow_00000,web_001,1000.0,1000.45,0.4500000000000455,TCP,50001,443,50001,10,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45]","[104, 114, 124, 134, 144, 154, 164, 174, 184, 194]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Web
web_002_flow_00000,web_002,1000.0,1000.35,0.35000000000002274,TCP,50002,443,50002,8,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35]","[104, 114, 124, 134, 144, 154, 164, 174]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Web
video_001_flow_00000,video_001,1000.0,1000.95,0.9500000000000455,UDP,50003,443,50003,20,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7, 1000.75, 1000.8, 1000.85, 1000.9, 1000.95]","[92, 102, 112, 122, 132, 142, 152, 162, 172, 182, 192, 202, 212, 222, 232, 242, 252, 262, 272, 282]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Video
video_002_flow_00000,video_002,1000.0,1000.85,0.8500000000000227,UDP,50004,443,50004,18,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7, 1000.75, 1000.8, 1000.85]","[92, 102, 112, 122, 132, 142, 152, 162, 172, 182, 192, 202, 212, 222, 232, 242, 252, 262]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Video
msg_001_flow_00000,msg_001,1000.0,1000.45,0.4500000000000455,TCP,50005,5222,50005,10,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45]","[104, 114, 124, 134, 144, 154, 164, 174, 184, 194]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Messaging
msg_002_flow_00000,msg_002,1000.0,1000.55,0.5499999999999545,TCP,50006,5222,50006,12,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55]","[104, 114, 124, 134, 144, 154, 164, 174, 184, 194, 204, 214]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,Messaging
voip_001_flow_00000,voip_001,1000.0,1000.7,0.7000000000000455,UDP,50007,5060,50007,15,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7]","[92, 102, 112, 122, 132, 142, 152, 162, 172, 182, 192, 202, 212, 222, 232]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD""]",UNKNOWN,0,0,0,VoIP
voip_002_flow_00000,voip_002,1000.0,1000.7,0.7000000000000455,UDP,50008,5060,50008,15,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7]","[92, 102, 112, 122, 132, 142, 152, 162, 172, 182, 192, 202, 212, 222, 232]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD""]",UNKNOWN,0,0,0,VoIP
file_001_flow_00000,file_001,1000.0,1001.2,1.2000000000000455,TCP,50009,22,50009,25,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7, 1000.75, 1000.8, 1000.85, 1000.9, 1000.95, 1001.0, 1001.05, 1001.1, 1001.15, 1001.2]","[104, 114, 124, 134, 144, 154, 164, 174, 184, 194, 204, 214, 224, 234, 244, 254, 264, 274, 284, 294, 304, 314, 324, 334, 344]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD""]",UNKNOWN,0,0,0,File Transfer
file_002_flow_00000,file_002,1000.0,1001.05,1.0499999999999545,TCP,50010,22,50010,22,"[1000.0, 1000.05, 1000.1, 1000.15, 1000.2, 1000.25, 1000.3, 1000.35, 1000.4, 1000.45, 1000.5, 1000.55, 1000.6, 1000.65, 1000.7, 1000.75, 1000.8, 1000.85, 1000.9, 1000.95, 1001.0, 1001.05]","[104, 114, 124, 134, 144, 154, 164, 174, 184, 194, 204, 214, 224, 234, 244, 254, 264, 274, 284, 294, 304, 314]","[""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD"", ""FORWARD"", ""BACKWARD""]",UNKNOWN,0,0,0,File Transfer
