flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,sequence_length,flow_duration,packet_count_mean,packet_count_std,packet_count_min,packet_count_max,packet_count_median,packet_count_first,packet_count_last,packet_count_delta,packet_count_slope,byte_count_mean,byte_count_std,byte_count_min,byte_count_max,byte_count_median,byte_count_first,byte_count_last,byte_count_delta,byte_count_slope,mean_packet_size_mean,mean_packet_size_std,mean_packet_size_min,mean_packet_size_max,mean_packet_size_median,mean_packet_size_first,mean_packet_size_last,mean_packet_size_delta,mean_packet_size_slope,std_packet_size_mean,std_packet_size_std,std_packet_size_min,std_packet_size_max,std_packet_size_median,std_packet_size_first,std_packet_size_last,std_packet_size_delta,std_packet_size_slope,median_packet_size_mean,median_packet_size_std,median_packet_size_min,median_packet_size_max,median_packet_size_median,median_packet_size_first,median_packet_size_last,median_packet_size_delta,median_packet_size_slope,p90_packet_size_mean,p90_packet_size_std,p90_packet_size_min,p90_packet_size_max,p90_packet_size_median,p90_packet_size_first,p90_packet_size_last,p90_packet_size_delta,p90_packet_size_slope,p95_packet_size_mean,p95_packet_size_std,p95_packet_size_min,p95_packet_size_max,p95_packet_size_median,p95_packet_size_first,p95_packet_size_last,p95_packet_size_delta,p95_packet_size_slope,mean_iat_mean,mean_iat_std,mean_iat_min,mean_iat_max,mean_iat_median,mean_iat_first,mean_iat_last,mean_iat_delta,mean_iat_slope,std_iat_mean,std_iat_std,std_iat_min,std_iat_max,std_iat_median,std_iat_first,std_iat_last,std_iat_delta,std_iat_slope,median_iat_mean,median_iat_std,median_iat_min,median_iat_max,median_iat_median,median_iat_first,median_iat_last,median_iat_delta,median_iat_slope,p90_iat_mean,p90_iat_std,p90_iat_min,p90_iat_max,p90_iat_median,p90_iat_first,p90_iat_last,p90_iat_delta,p90_iat_slope,forward_packets_mean,forward_packets_std,forward_packets_min,forward_packets_max,forward_packets_median,forward_packets_first,forward_packets_last,forward_packets_delta,forward_packets_slope,backward_packets_mean,backward_packets_std,backward_packets_min,backward_packets_max,backward_packets_median,backward_packets_first,backward_packets_last,backward_packets_delta,backward_packets_slope,forward_bytes_mean,forward_bytes_std,forward_bytes_min,forward_bytes_max,forward_bytes_median,forward_bytes_first,forward_bytes_last,forward_bytes_delta,forward_bytes_slope,backward_bytes_mean,backward_bytes_std,backward_bytes_min,backward_bytes_max,backward_bytes_median,backward_bytes_first,backward_bytes_last,backward_bytes_delta,backward_bytes_slope,packet_rate_mean,packet_rate_std,packet_rate_min,packet_rate_max,packet_rate_median,packet_rate_first,packet_rate_last,packet_rate_delta,packet_rate_slope,byte_rate_mean,byte_rate_std,byte_rate_min,byte_rate_max,byte_rate_median,byte_rate_first,byte_rate_last,byte_rate_delta,byte_rate_slope,burst_count_mean,burst_count_std,burst_count_min,burst_count_max,burst_count_median,burst_count_first,burst_count_last,burst_count_delta,burst_count_slope,mean_burst_size_mean,mean_burst_size_std,mean_burst_size_min,mean_burst_size_max,mean_burst_size_median,mean_burst_size_first,mean_burst_size_last,mean_burst_size_delta,mean_burst_size_slope,burst_rate_mean,burst_rate_std,burst_rate_min,burst_rate_max,burst_rate_median,burst_rate_first,burst_rate_last,burst_rate_delta,burst_rate_slope,direction_switch_count_mean,direction_switch_count_std,direction_switch_count_min,direction_switch_count_max,direction_switch_count_median,direction_switch_count_first,direction_switch_count_last,direction_switch_count_delta,direction_switch_count_slope,window_count,active_window_fraction,burst_fraction,idle_fraction
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,30,60.951,75.200000,9.658847,58.000000,95.000000,73.500000,87.000000,95.000000,8.000000,0.266667,17767.166667,2508.026543,13882.000000,22129.000000,17813.500000,19584.000000,22118.000000,2534.000000,84.466667,235.961099,7.286177,220.352941,248.640449,235.987976,225.103448,232.821053,7.717604,0.257253,78.990676,7.899626,64.639053,100.061646,76.868067,72.121550,72.589107,0.467557,0.015585,233.200000,10.812493,218.500000,254.000000,230.000000,221.000000,228.000000,7.000000,0.233333,336.933333,14.371368,314.800000,368.500000,339.000000,314.800000,322.000000,7.200000,0.240000,363.138333,18.098323,331.000000,412.600000,359.250000,341.000000,355.600000,14.600000,0.486667,0.026558,0.003487,0.020925,0.033342,0.026242,0.022945,0.020925,-0.002020,-0.000067,0.026468,0.004509,0.018829,0.037372,0.025595,0.022557,0.018829,-0.003728,-0.000124,0.018683,0.003209,0.014381,0.025740,0.018427,0.014943,0.014381,-0.000562,-0.000019,0.058707,0.011374,0.044434,0.085608,0.054846,0.052318,0.045004,-0.007315,-0.000244,75.200000,9.658847,58.000000,95.000000,73.500000,87.000000,95.000000,8.000000,0.266667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17767.166667,2508.026543,13882.000000,22129.000000,17813.500000,19584.000000,22118.000000,2534.000000,84.466667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.600000,4.829424,29.000000,47.500000,36.750000,43.500000,47.500000,4.000000,0.133333,8883.583333,1254.013271,6941.000000,11064.500000,8906.750000,9792.000000,11059.000000,1267.000000,42.233333,11.600000,3.210400,6.000000,20.000000,11.500000,11.000000,7.000000,-4.000000,-0.133333,7.208839,2.912823,3.050000,13.666667,6.077381,7.909091,13.571429,5.662338,0.188745,5.800000,1.605200,3.000000,10.000000,5.750000,5.500000,3.500000,-2.000000,-0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_144333_web_001_5c95_flow_00001,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,30,59.404,124.466667,9.938925,103.000000,147.000000,123.500000,147.000000,110.000000,-37.000000,-1.233333,133318.900000,11895.902248,104885.000000,152095.000000,132980.000000,152095.000000,111393.000000,-40702.000000,-1356.733333,1070.433072,26.577904,1012.663636,1117.175439,1071.087548,1034.659864,1012.663636,-21.996228,-0.733208,312.352155,14.682227,280.578443,346.934298,312.751675,326.425091,323.613610,-2.811481,-0.093716,1120.400000,46.128516,1046.000000,1225.500000,1125.500000,1086.000000,1055.500000,-30.500000,-1.016667,1419.893333,0.574418,1416.800000,1420.000000,1420.000000,1420.000000,1420.000000,0.000000,0.000000,1420.000000,0.000000,1420.000000,1420.000000,1420.000000,1420.000000,1420.000000,0.000000,0.000000,0.016094,0.001332,0.013665,0.019511,0.016221,0.013665,0.017758,0.004093,0.000136,0.015570,0.001550,0.012184,0.018564,0.015478,0.014705,0.017279,0.002574,0.000086,0.011391,0.001593,0.008484,0.016420,0.011229,0.008484,0.012097,0.003613,0.000120,0.036652,0.004243,0.029969,0.044135,0.037908,0.032414,0.041186,0.008771,0.000292,124.466667,9.938925,103.000000,147.000000,123.500000,147.000000,110.000000,-37.000000,-1.233333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,133318.900000,11895.902248,104885.000000,152095.000000,132980.000000,152095.000000,111393.000000,-40702.000000,-1356.733333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.233333,4.969462,51.500000,73.500000,61.750000,73.500000,55.000000,-18.500000,-0.616667,66659.450000,5947.951124,52442.500000,76047.500000,66490.000000,76047.500000,55696.500000,-20351.000000,-678.366667,6.300000,2.100000,2.000000,11.000000,6.000000,7.000000,6.000000,-1.000000,-0.033333,23.020486,11.649742,10.727273,67.500000,20.500000,21.000000,18.333333,-2.666667,-0.088889,3.150000,1.050000,1.000000,5.500000,3.000000,3.500000,3.000000,-0.500000,-0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145151_web_001_0bbf_flow_00000,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,65.550,15.433333,3.353439,9.000000,24.000000,15.500000,20.000000,14.000000,-6.000000,-0.200000,4362.400000,1075.671344,2498.000000,6955.000000,4480.000000,6100.000000,4019.000000,-2081.000000,-69.366667,281.591843,22.353748,241.533333,320.000000,282.866667,305.000000,287.071429,-17.928571,-0.597619,83.612020,17.348990,57.739409,119.410701,83.843566,106.003774,99.145250,-6.858523,-0.228617,283.866667,23.532224,247.000000,358.000000,287.500000,305.500000,294.500000,-11.000000,-0.366667,376.526667,36.522467,284.900000,454.200000,377.700000,438.400000,433.700000,-4.700000,-0.156667,402.823333,40.130593,331.800000,485.400000,398.975000,454.300000,468.050000,13.750000,0.458333,0.129077,0.033018,0.077068,0.228634,0.119106,0.098116,0.115654,0.017538,0.000585,0.114654,0.027312,0.069929,0.197608,0.108542,0.103405,0.105349,0.001944,0.000065,0.094696,0.029956,0.055745,0.183682,0.091597,0.077590,0.089010,0.011420,0.000381,0.274356,0.081002,0.120503,0.443357,0.265035,0.204376,0.249459,0.045083,0.001503,15.433333,3.353439,9.000000,24.000000,15.500000,20.000000,14.000000,-6.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4362.400000,1075.671344,2498.000000,6955.000000,4480.000000,6100.000000,4019.000000,-2081.000000,-69.366667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.716667,1.676720,4.500000,12.000000,7.750000,10.000000,7.000000,-3.000000,-0.100000,2181.200000,537.835672,1249.000000,3477.500000,2240.000000,3050.000000,2009.500000,-1040.500000,-34.683333,10.866667,1.892676,8.000000,15.000000,11.000000,13.000000,9.000000,-4.000000,-0.133333,1.421047,0.196610,1.090909,1.800000,1.458042,1.538462,1.555556,0.017094,0.000570,5.433333,0.946338,4.000000,7.500000,5.500000,6.500000,4.500000,-2.000000,-0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145151_web_001_0bbf_flow_00001,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,58.795,16.200000,3.936157,7.000000,23.000000,17.000000,15.000000,17.000000,2.000000,0.066667,3671.633333,801.449582,1824.000000,5108.000000,3825.500000,3982.000000,3778.000000,-204.000000,-6.800000,228.852233,17.852013,195.454545,270.545455,225.597059,265.466667,222.235294,-43.231373,-1.441046,74.158800,15.291061,41.054525,110.644692,70.113090,69.898848,80.308618,10.409770,0.346992,230.066667,22.223761,167.000000,285.000000,224.250000,254.000000,241.000000,-13.000000,-0.433333,314.253333,34.825745,251.400000,388.400000,301.700000,361.400000,286.200000,-75.200000,-2.506667,335.006667,38.954576,261.600000,407.800000,322.175000,379.600000,307.200000,-72.400000,-2.413333,0.122748,0.036980,0.072817,0.236984,0.112996,0.142043,0.109562,-0.032481,-0.001083,0.108039,0.022878,0.075337,0.162827,0.107549,0.119603,0.132973,0.013370,0.000446,0.087880,0.038355,0.025889,0.215593,0.082779,0.117109,0.062929,-0.054180,-0.001806,0.248640,0.061378,0.149525,0.398672,0.242051,0.245524,0.236094,-0.009430,-0.000314,16.200000,3.936157,7.000000,23.000000,17.000000,15.000000,17.000000,2.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3671.633333,801.449582,1824.000000,5108.000000,3825.500000,3982.000000,3778.000000,-204.000000,-6.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.100000,1.968079,3.500000,11.500000,8.500000,7.500000,8.500000,1.000000,0.033333,1835.816667,400.724791,912.000000,2554.000000,1912.750000,1991.000000,1889.000000,-102.000000,-3.400000,11.033333,1.905839,7.000000,15.000000,11.500000,13.000000,10.000000,-3.000000,-0.100000,1.469631,0.301308,1.000000,2.222222,1.416667,1.153846,1.700000,0.546154,0.018205,5.516667,0.952919,3.500000,7.500000,5.750000,6.500000,5.000000,-1.500000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145551_web_001_da0c_flow_00000,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,30,59.010,19.966667,4.086427,11.000000,28.000000,19.500000,20.000000,22.000000,2.000000,0.066667,5085.266667,1108.412466,2879.000000,7289.000000,5057.000000,5475.000000,5591.000000,116.000000,3.866667,255.524756,26.312768,208.000000,346.363636,255.314536,273.750000,254.136364,-19.613636,-0.653788,86.130259,13.116861,60.819065,120.222645,87.694556,110.908465,89.433721,-21.474743,-0.715825,251.550000,25.185429,205.000000,317.000000,254.000000,269.000000,271.000000,2.000000,0.066667,363.170000,29.664503,305.800000,426.500000,360.800000,415.400000,358.900000,-56.500000,-1.883333,389.550000,33.053376,324.400000,469.000000,381.725000,465.000000,366.650000,-98.350000,-3.278333,0.101294,0.025663,0.070556,0.181316,0.096758,0.104644,0.089467,-0.015176,-0.000506,0.101413,0.026588,0.064846,0.165693,0.097562,0.095212,0.073938,-0.021274,-0.000709,0.069773,0.030827,0.035759,0.214416,0.061072,0.059849,0.079625,0.019776,0.000659,0.221506,0.066552,0.137745,0.452687,0.194178,0.276377,0.186465,-0.089912,-0.002997,19.966667,4.086427,11.000000,28.000000,19.500000,20.000000,22.000000,2.000000,0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5085.266667,1108.412466,2879.000000,7289.000000,5057.000000,5475.000000,5591.000000,116.000000,3.866667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.983333,2.043214,5.500000,14.000000,9.750000,10.000000,11.000000,1.000000,0.033333,2542.633333,554.206233,1439.500000,3644.500000,2528.500000,2737.500000,2795.500000,58.000000,1.933333,11.400000,2.169485,8.000000,16.000000,11.000000,12.000000,13.000000,1.000000,0.033333,1.771958,0.349228,1.222222,2.888889,1.720779,1.666667,1.692308,0.025641,0.000855,5.700000,1.084743,4.000000,8.000000,5.500000,6.000000,6.500000,0.500000,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145551_web_001_da0c_flow_00001,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,30,59.149,24.800000,4.915282,18.000000,39.000000,24.000000,20.000000,24.000000,4.000000,0.133333,13530.900000,3024.234904,8983.000000,21374.000000,13174.000000,12649.000000,13510.000000,861.000000,28.700000,544.329764,42.317288,429.409091,632.450000,549.960424,632.450000,562.916667,-69.533333,-2.317778,184.552740,26.505851,142.716595,239.272887,176.766649,147.435910,218.904644,71.468734,2.382291,551.500000,51.475722,444.500000,646.000000,562.250000,646.000000,574.000000,-72.000000,-2.400000,763.576667,45.649605,671.800000,851.200000,772.200000,786.400000,840.000000,53.600000,1.786667,807.836667,50.175480,701.050000,895.250000,805.850000,853.150000,889.750000,36.600000,1.220000,0.079443,0.014521,0.047614,0.112060,0.080922,0.096918,0.080649,-0.016269,-0.000542,0.067625,0.015398,0.043841,0.106305,0.064248,0.068669,0.062062,-0.006607,-0.000220,0.062956,0.017075,0.026702,0.105859,0.060987,0.091979,0.070674,-0.021305,-0.000710,0.171671,0.032874,0.114372,0.232533,0.166575,0.193391,0.160209,-0.033182,-0.001106,24.800000,4.915282,18.000000,39.000000,24.000000,20.000000,24.000000,4.000000,0.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13530.900000,3024.234904,8983.000000,21374.000000,13174.000000,12649.000000,13510.000000,861.000000,28.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.400000,2.457641,9.000000,19.500000,12.000000,10.000000,12.000000,2.000000,0.066667,6765.450000,1512.117452,4491.500000,10687.000000,6587.000000,6324.500000,6755.000000,430.500000,14.350000,14.200000,1.904381,11.000000,19.000000,14.000000,14.000000,15.000000,1.000000,0.033333,1.755402,0.316545,1.285714,2.785714,1.703297,1.428571,1.600000,0.171429,0.005714,7.100000,0.952190,5.500000,9.500000,7.000000,7.000000,7.500000,0.500000,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145946_web_001_c866_flow_00000,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,60.339,52.766667,7.644969,41.000000,76.000000,51.000000,55.000000,42.000000,-13.000000,-0.433333,16946.066667,2358.230663,12246.000000,23117.000000,16916.000000,16805.000000,14882.000000,-1923.000000,-64.100000,321.598537,14.779857,298.682927,354.333333,320.426971,305.545455,354.333333,48.787879,1.626263,108.420391,11.150556,84.311839,133.067116,108.965865,102.542553,122.065296,19.522743,0.650758,320.883333,19.049796,285.500000,363.000000,318.500000,300.000000,363.000000,63.000000,2.100000,455.773333,27.820136,403.800000,536.800000,455.900000,431.600000,479.100000,47.500000,1.583333,484.610000,38.003759,417.700000,579.000000,483.400000,442.800000,530.150000,87.350000,2.911667,0.037966,0.005371,0.025771,0.049311,0.037912,0.036932,0.046632,0.009700,0.000323,0.036895,0.005848,0.025240,0.050522,0.036640,0.036617,0.047223,0.010607,0.000354,0.025477,0.005007,0.015229,0.037265,0.025518,0.025047,0.037265,0.012218,0.000407,0.089894,0.014199,0.064771,0.115116,0.087494,0.082915,0.113380,0.030465,0.001015,52.766667,7.644969,41.000000,76.000000,51.000000,55.000000,42.000000,-13.000000,-0.433333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16946.066667,2358.230663,12246.000000,23117.000000,16916.000000,16805.000000,14882.000000,-1923.000000,-64.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.383333,3.822485,20.500000,38.000000,25.500000,27.500000,21.000000,-6.500000,-0.216667,8473.033333,1179.115332,6123.000000,11558.500000,8458.000000,8402.500000,7441.000000,-961.500000,-32.050000,14.733333,1.611073,12.000000,19.000000,15.000000,15.000000,15.000000,0.000000,0.000000,3.630372,0.704938,2.687500,5.428571,3.586134,3.666667,2.800000,-0.866667,-0.028889,7.366667,0.805536,6.000000,9.500000,7.500000,7.500000,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_145946_web_001_c866_flow_00001,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,58.685,58.833333,5.434969,46.000000,68.000000,59.500000,56.000000,51.000000,-5.000000,-0.166667,20886.733333,2229.129859,16851.000000,25070.000000,20843.000000,19808.000000,19198.000000,-610.000000,-20.333333,355.013183,17.965423,323.372881,393.233333,349.755498,353.714286,376.431373,22.717087,0.757236,120.601462,10.912296,96.837471,140.271644,120.772395,107.592106,109.648503,2.056398,0.068547,355.000000,17.404501,318.000000,394.500000,356.000000,363.500000,352.000000,-11.500000,-0.383333,507.606667,26.855241,451.800000,564.000000,503.000000,488.000000,538.000000,50.000000,1.666667,542.101667,27.241125,488.700000,587.250000,551.875000,512.250000,575.000000,62.750000,2.091667,0.033853,0.003605,0.028995,0.043848,0.032983,0.036150,0.039198,0.003048,0.000102,0.033832,0.005559,0.025429,0.047536,0.032849,0.035319,0.038255,0.002936,0.000098,0.023296,0.004533,0.014706,0.034441,0.023466,0.020214,0.025149,0.004935,0.000165,0.076149,0.009751,0.058360,0.102665,0.074623,0.086420,0.092734,0.006314,0.000210,58.833333,5.434969,46.000000,68.000000,59.500000,56.000000,51.000000,-5.000000,-0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20886.733333,2229.129859,16851.000000,25070.000000,20843.000000,19808.000000,19198.000000,-610.000000,-20.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.416667,2.717485,23.000000,34.000000,29.750000,28.000000,25.500000,-2.500000,-0.083333,10443.366667,1114.564930,8425.500000,12535.000000,10421.500000,9904.000000,9599.000000,-305.000000,-10.166667,14.600000,1.993322,10.000000,19.000000,14.500000,19.000000,15.000000,-4.000000,-0.133333,4.116390,0.733362,2.842105,5.600000,4.207143,2.947368,3.400000,0.452632,0.015088,7.300000,0.996661,5.000000,9.500000,7.250000,9.500000,7.500000,-2.000000,-0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_150110_web_001_9490_flow_00000,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,58.303,80.433333,9.548764,68.000000,110.000000,78.500000,80.000000,86.000000,6.000000,0.200000,66577.066667,8530.192870,55105.000000,94391.000000,64129.500000,65245.000000,66332.000000,1087.000000,36.233333,827.333958,25.108818,771.302326,885.220588,825.937980,815.562500,771.302326,-44.260174,-1.475339,292.228236,23.210050,255.450804,341.059418,292.171668,339.845364,269.617044,-70.228319,-2.340944,834.900000,41.582528,744.000000,904.000000,837.500000,773.500000,782.500000,9.000000,0.300000,1206.823333,57.353336,1078.300000,1327.100000,1210.750000,1263.500000,1091.000000,-172.500000,-5.750000,1285.183333,52.029543,1202.800000,1420.000000,1280.425000,1352.900000,1224.500000,-128.400000,-4.280000,0.024825,0.002646,0.018125,0.028957,0.025249,0.024932,0.023271,-0.001661,-0.000055,0.024646,0.003500,0.016987,0.032136,0.024850,0.019991,0.023943,0.003952,0.000132,0.017295,0.002819,0.012282,0.022460,0.018317,0.022460,0.014278,-0.008182,-0.000273,0.056659,0.008480,0.038850,0.073160,0.057724,0.050957,0.047128,-0.003829,-0.000128,80.433333,9.548764,68.000000,110.000000,78.500000,80.000000,86.000000,6.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66577.066667,8530.192870,55105.000000,94391.000000,64129.500000,65245.000000,66332.000000,1087.000000,36.233333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.216667,4.774382,34.000000,55.000000,39.250000,40.000000,43.000000,3.000000,0.100000,33288.533333,4265.096435,27552.500000,47195.500000,32064.750000,32622.500000,33166.000000,543.500000,18.116667,11.066667,2.308439,6.000000,16.000000,11.000000,10.000000,9.000000,-1.000000,-0.033333,7.809555,2.920219,4.312500,17.000000,6.825000,8.000000,9.555556,1.555556,0.051852,5.533333,1.154219,3.000000,8.000000,5.500000,5.000000,4.500000,-0.500000,-0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
20260823_150110_web_001_9490_flow_00001,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,30,58.818,43.233333,6.437822,28.000000,58.000000,43.000000,42.000000,40.000000,-2.000000,-0.066667,10660.400000,1533.773921,6812.000000,13478.000000,10514.000000,11084.000000,10487.000000,-597.000000,-19.900000,247.169182,14.540350,213.204082,273.195652,244.368823,263.904762,262.175000,-1.729762,-0.057659,85.390308,9.947562,66.465737,109.230360,84.656527,90.223482,85.568361,-4.655121,-0.155171,248.966667,17.233656,204.000000,285.000000,252.250000,264.500000,259.500000,-5.000000,-0.166667,351.263333,26.819427,313.800000,426.400000,344.700000,362.300000,368.700000,6.400000,0.213333,381.203333,30.878479,333.750000,445.700000,385.075000,415.750000,410.550000,-5.200000,-0.173333,0.046486,0.007437,0.034407,0.069429,0.045468,0.045620,0.048974,0.003353,0.000112,0.044596,0.008760,0.031303,0.071333,0.044779,0.056031,0.039729,-0.016303,-0.000543,0.032920,0.007683,0.021330,0.055728,0.030256,0.029519,0.045927,0.016407,0.000547,0.102118,0.024089,0.066542,0.190231,0.100677,0.078310,0.108265,0.029955,0.000998,43.233333,6.437822,28.000000,58.000000,43.000000,42.000000,40.000000,-2.000000,-0.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10660.400000,1533.773921,6812.000000,13478.000000,10514.000000,11084.000000,10487.000000,-597.000000,-19.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.616667,3.218911,14.000000,29.000000,21.500000,21.000000,20.000000,-1.000000,-0.033333,5330.200000,766.886960,3406.000000,6739.000000,5257.000000,5542.000000,5243.500000,-298.500000,-9.950000,15.100000,2.071232,11.000000,19.000000,15.000000,13.000000,16.000000,3.000000,0.100000,2.909901,0.559120,1.842105,4.461538,2.878676,3.230769,2.500000,-0.730769,-0.024359,7.550000,1.035616,5.500000,9.500000,7.500000,6.500000,8.000000,1.500000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.000000,1.000000,1.000000,0.000000
