flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,window_id,window_index,window_start,window_end,packet_count,byte_count,mean_packet_size,std_packet_size,median_packet_size,p90_packet_size,p95_packet_size,mean_iat,std_iat,median_iat,p90_iat,forward_packets,backward_packets,forward_bytes,backward_bytes,packet_rate,byte_rate,burst_count,mean_burst_size,burst_rate,direction_switch_count
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w000,0,0.000,1.000,45.000000,10234.000000,227.422222,72.718174,227.000000,316.400000,352.600000,0.022714,0.020991,0.020004,0.047497,45.000000,0.000000,10234.000000,0.000000,45.000000,10234.000000,5.000000,9.000000,5.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w001,1,0.500,1.500,39.000000,8917.000000,228.641026,71.349802,235.000000,304.800000,343.200000,0.024873,0.024821,0.020793,0.049116,39.000000,0.000000,8917.000000,0.000000,39.000000,8917.000000,5.000000,7.800000,5.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w002,2,1.000,2.000,42.000000,9350.000000,222.619048,71.393261,219.500000,312.300000,339.750000,0.023702,0.024150,0.012950,0.058661,42.000000,0.000000,9350.000000,0.000000,42.000000,9350.000000,7.000000,6.000000,7.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w003,3,1.500,2.500,35.000000,8401.000000,240.028571,72.656328,248.000000,338.800000,343.100000,0.029353,0.037062,0.013608,0.070518,35.000000,0.000000,8401.000000,0.000000,35.000000,8401.000000,8.000000,4.375000,8.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w004,4,2.000,3.000,31.000000,7401.000000,238.741935,71.190779,243.000000,317.000000,338.500000,0.028691,0.031516,0.018088,0.064326,31.000000,0.000000,7401.000000,0.000000,31.000000,7401.000000,8.000000,3.875000,8.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w005,5,2.500,3.500,38.000000,8709.000000,229.184211,67.010154,233.500000,316.300000,327.200000,0.025625,0.022845,0.019436,0.057627,38.000000,0.000000,8709.000000,0.000000,38.000000,8709.000000,9.000000,4.222222,9.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w006,6,3.000,4.000,40.000000,9589.000000,239.725000,83.359759,234.500000,334.600000,375.350000,0.024796,0.026567,0.017115,0.054133,40.000000,0.000000,9589.000000,0.000000,40.000000,9589.000000,7.000000,5.714286,7.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w007,7,3.500,4.500,44.000000,10604.000000,241.000000,97.630565,235.000000,374.400000,382.850000,0.022133,0.024306,0.014824,0.048870,44.000000,0.000000,10604.000000,0.000000,44.000000,10604.000000,6.000000,7.333333,6.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w008,8,4.000,5.000,41.000000,9708.000000,236.780488,84.716604,223.000000,348.000000,374.000000,0.022682,0.023222,0.014335,0.051849,41.000000,0.000000,9708.000000,0.000000,41.000000,9708.000000,8.000000,5.125000,8.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w009,9,4.500,5.500,28.000000,6404.000000,228.714286,68.575223,222.000000,309.300000,354.050000,0.032904,0.041093,0.014092,0.075984,28.000000,0.000000,6404.000000,0.000000,28.000000,6404.000000,8.000000,3.500000,8.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w010,10,5.000,6.000,24.000000,5572.000000,232.166667,74.865249,225.500000,343.700000,347.850000,0.038690,0.037815,0.020867,0.089283,24.000000,0.000000,5572.000000,0.000000,24.000000,5572.000000,7.000000,3.428571,7.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w011,11,5.500,6.500,34.000000,8260.000000,242.941176,66.902889,231.000000,347.700000,352.350000,0.028695,0.029917,0.020867,0.076254,34.000000,0.000000,8260.000000,0.000000,34.000000,8260.000000,6.000000,5.666667,6.000000,0.000000
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_w012,12,6.000,7.000,34.000000,8342.000000,245.352941,70.200923,237.000000,352.700000,356.400000,0.030016,0.037140,0.019025,0.067508,34.000000,0.000000,8342.000000,0.000000,34.000000,8342.000000,6.000000,5.666667,6.000000,0.000000
