flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,window_id,window_type,window_start,window_end,packet_offset,packet_count,byte_count,mean_packet_size,std_packet_size,median_packet_size,p95_packet_size,mean_iat,std_iat,median_iat,p95_iat,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,packet_rate,byte_rate,burst_count,mean_burst_size,burst_rate,direction_switch_count
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_prefix_20,prefix_20,0.000,0.329,0,20.000000,4346.000000,217.300000,65.806611,216.500000,319.900000,0.017340,0.015411,0.014094,0.044096,20.000000,0.000000,4346.000000,0.000000,60.703789,13190.933377,2.000000,10.000000,6.070379,0.000000
20260823_144333_web_001_5c95_flow_00001,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00001_prefix_20,prefix_20,0.000,0.153,0,20.000000,19665.000000,983.250000,319.555453,998.000000,1420.000000,0.008074,0.006419,0.007714,0.021346,20.000000,0.000000,19665.000000,0.000000,130.367199,128183.548614,1.000000,20.000000,6.518360,0.000000
20260823_145151_web_001_0bbf_flow_00000,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00000_prefix_20,prefix_20,0.000,1.864,0,20.000000,6100.000000,305.000000,106.003774,305.500000,454.300000,0.098116,0.103405,0.077590,0.232790,20.000000,0.000000,6100.000000,0.000000,10.728396,3272.160886,13.000000,1.538462,6.973458,0.000000
20260823_145151_web_001_0bbf_flow_00001,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00001_prefix_20,prefix_20,0.000,2.779,0,20.000000,5122.000000,256.100000,80.574748,241.000000,395.350000,0.146268,0.134560,0.107695,0.414307,20.000000,0.000000,5122.000000,0.000000,7.196611,1843.052189,15.000000,1.333333,5.397459,0.000000
20260823_145551_web_001_da0c_flow_00000,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00000_prefix_20,prefix_20,0.000,1.988,0,20.000000,5475.000000,273.750000,110.908465,269.000000,465.000000,0.104644,0.095212,0.059849,0.281544,20.000000,0.000000,5475.000000,0.000000,10.059202,2753.706645,12.000000,1.666667,6.035521,0.000000
20260823_145551_web_001_da0c_flow_00001,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00001_prefix_20,prefix_20,0.000,1.841,0,20.000000,12649.000000,632.450000,147.435910,646.000000,853.150000,0.096918,0.068669,0.091979,0.227375,20.000000,0.000000,12649.000000,0.000000,10.861067,6869.081854,14.000000,1.428571,7.602747,0.000000
20260823_145946_web_001_c866_flow_00000,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00000_prefix_20,prefix_20,0.000,0.645,0,20.000000,6400.000000,320.000000,109.438110,312.000000,452.850000,0.033960,0.041346,0.020960,0.121992,20.000000,0.000000,6400.000000,0.000000,30.995924,9918.695727,5.000000,4.000000,7.748981,0.000000
20260823_145946_web_001_c866_flow_00001,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00001_prefix_20,prefix_20,0.000,0.579,0,20.000000,7687.000000,384.350000,109.001044,404.000000,523.250000,0.030454,0.036379,0.018265,0.113392,20.000000,0.000000,7687.000000,0.000000,34.565047,13285.075730,5.000000,4.000000,8.641262,0.000000
20260823_150110_web_001_9490_flow_00000,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00000_prefix_20,prefix_20,0.000,0.413,0,20.000000,18033.000000,901.650000,359.918640,987.000000,1352.900000,0.021719,0.019021,0.017401,0.055850,20.000000,0.000000,18033.000000,0.000000,48.465454,43698.876641,3.000000,6.666667,7.269818,0.000000
20260823_150110_web_001_9490_flow_00001,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00001_prefix_20,prefix_20,0.000,1.053,0,20.000000,4886.000000,244.300000,81.024132,248.000000,356.350000,0.055422,0.075073,0.029103,0.139744,20.000000,0.000000,4886.000000,0.000000,18.992951,4639.977878,7.000000,2.857143,6.647533,0.000000
20260823_150323_web_001_2c60_flow_00000,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150323_web_001_2c60_flow_00000_prefix_20,prefix_20,0.000,1.957,0,20.000000,3872.000000,193.600000,46.276776,180.500000,273.150000,0.103003,0.085746,0.087502,0.237855,20.000000,0.000000,3872.000000,0.000000,10.219451,1978.485744,12.000000,1.666667,6.131671,0.000000
20260823_150323_web_001_2c60_flow_00001,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150323_web_001_2c60_flow_00001_prefix_20,prefix_20,0.000,2.882,0,20.000000,5431.000000,271.550000,101.892824,258.500000,467.150000,0.151685,0.148409,0.127437,0.481728,20.000000,0.000000,5431.000000,0.000000,6.939588,1884.445145,14.000000,1.428571,4.857712,0.000000
20260823_150454_web_001_17f5_flow_00000,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150454_web_001_17f5_flow_00000_prefix_20,prefix_20,0.000,1.701,0,20.000000,4854.000000,242.700000,74.400336,242.000000,335.550000,0.089538,0.074647,0.060568,0.213215,20.000000,0.000000,4854.000000,0.000000,11.756273,2853.247539,11.000000,1.818182,6.465950,0.000000
20260823_150454_web_001_17f5_flow_00001,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150454_web_001_17f5_flow_00001_prefix_20,prefix_20,0.000,1.570,0,20.000000,4118.000000,205.900000,77.591172,217.500000,315.800000,0.082617,0.079003,0.048027,0.260006,20.000000,0.000000,4118.000000,0.000000,12.741072,2623.386660,10.000000,2.000000,6.370536,0.000000
20260823_150634_web_001_ddf0_flow_00000,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150634_web_001_ddf0_flow_00000_prefix_20,prefix_20,0.000,3.217,0,20.000000,4193.000000,209.650000,66.652288,201.500000,336.400000,0.169325,0.185716,0.108220,0.441220,20.000000,0.000000,4193.000000,0.000000,6.216643,1303.319274,15.000000,1.333333,4.662482,0.000000
20260823_150634_web_001_ddf0_flow_00001,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150634_web_001_ddf0_flow_00001_prefix_20,prefix_20,0.000,3.653,0,20.000000,4889.000000,244.450000,84.029444,251.000000,356.250000,0.192282,0.237140,0.145195,0.524223,20.000000,0.000000,4889.000000,0.000000,5.474412,1338.219997,17.000000,1.176471,4.653250,0.000000
20260823_150817_web_001_e5b6_flow_00000,real_20260823_150817_web_001_e5b6,20260823_150817_web_001_e5b6,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150817_web_001_e5b6_flow_00000_prefix_20,prefix_20,0.000,2.235,0,20.000000,6135.000000,306.750000,108.315684,304.500000,434.950000,0.117633,0.093266,0.111465,0.316178,20.000000,0.000000,6135.000000,0.000000,8.948439,2744.933697,16.000000,1.250000,7.158751,0.000000
