flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,window_id,window_type,window_start,window_end,packet_offset,packet_count,byte_count,mean_packet_size,std_packet_size,median_packet_size,p95_packet_size,mean_iat,std_iat,median_iat,p95_iat,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,packet_rate,byte_rate,burst_count,mean_burst_size,burst_rate,direction_switch_count
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_whole,whole_flow,0.000,60.951,0,2321.000000,542351.000000,233.671262,79.769784,232.000000,365.000000,0.026272,0.026542,0.018367,0.077869,2321.000000,0.000000,542351.000000,0.000000,38.079945,8898.188704,330.000000,7.033333,5.414210,0.000000
20260823_144333_web_001_5c95_flow_00001,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00001_whole,whole_flow,0.000,59.404,0,3726.000000,3966731.000000,1064.608427,319.070481,1111.500000,1420.000000,0.015947,0.015770,0.011055,0.047856,3726.000000,0.000000,3966731.000000,0.000000,62.723382,66775.840997,165.000000,22.581818,2.777605,0.000000
20260823_145151_web_001_0bbf_flow_00000,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00000_whole,whole_flow,0.000,65.550,0,528.000000,145919.000000,276.361742,91.885757,278.000000,433.950000,0.124383,0.121356,0.088223,0.358800,528.000000,0.000000,145919.000000,0.000000,8.054921,2226.071919,358.000000,1.474860,5.461480,0.000000
20260823_145151_web_001_0bbf_flow_00001,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00001_whole,whole_flow,0.000,58.795,0,484.000000,108901.000000,225.002066,78.041510,223.500000,368.400000,0.121728,0.117031,0.083868,0.340113,484.000000,0.000000,108901.000000,0.000000,8.232016,1852.220714,329.000000,1.471125,5.595730,0.000000
20260823_145551_web_001_da0c_flow_00000,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00000_whole,whole_flow,0.000,59.010,0,623.000000,156367.000000,250.990369,90.564308,250.000000,394.700000,0.094872,0.096416,0.067005,0.300717,623.000000,0.000000,156367.000000,0.000000,10.557498,2649.830383,359.000000,1.735376,6.083695,0.000000
20260823_145551_web_001_da0c_flow_00001,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00001_whole,whole_flow,0.000,59.149,0,744.000000,409697.000000,550.668011,191.660153,559.000000,855.550000,0.079608,0.077362,0.057408,0.233288,744.000000,0.000000,409697.000000,0.000000,12.578494,6926.574463,406.000000,1.832512,6.864071,0.000000
20260823_145946_web_001_c866_flow_00000,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00000_whole,whole_flow,0.000,60.339,0,1595.000000,507541.000000,318.207524,112.054930,320.000000,498.000000,0.037854,0.036709,0.026473,0.113647,1595.000000,0.000000,507541.000000,0.000000,26.433944,8411.479757,443.000000,3.600451,7.341841,0.000000
20260823_145946_web_001_c866_flow_00001,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00001_whole,whole_flow,0.000,58.685,0,1735.000000,619439.000000,357.025360,119.542859,361.000000,554.300000,0.033844,0.033879,0.023265,0.100777,1735.000000,0.000000,619439.000000,0.000000,29.564406,10555.242810,409.000000,4.242054,6.969361,0.000000
20260823_150110_web_001_9490_flow_00000,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00000_whole,whole_flow,0.000,58.303,0,2293.000000,1888938.000000,823.784562,289.462830,828.000000,1296.000000,0.025437,0.025004,0.017637,0.074678,2293.000000,0.000000,1888938.000000,0.000000,39.329289,32398.861100,312.000000,7.349359,5.351390,0.000000
20260823_150110_web_001_9490_flow_00001,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00001_whole,whole_flow,0.000,58.818,0,1262.000000,317117.000000,251.281300,88.527106,252.000000,401.800000,0.046644,0.047632,0.031991,0.135491,1262.000000,0.000000,317117.000000,0.000000,21.456050,5391.504221,448.000000,2.816964,7.616728,0.000000
20260823_150323_web_001_2c60_flow_00000,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150323_web_001_2c60_flow_00000_whole,whole_flow,0.000,59.470,0,430.000000,80690.000000,187.651163,60.340308,187.500000,277.000000,0.138625,0.134271,0.096720,0.402563,430.000000,0.000000,80690.000000,0.000000,7.230531,1356.817554,311.000000,1.382637,5.229524,0.000000
20260823_150323_web_001_2c60_flow_00001,real_20260823_150323_web_001_2c60,20260823_150323_web_001_2c60,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150323_web_001_2c60_flow_00001_whole,whole_flow,0.000,57.989,0,479.000000,145702.000000,304.179541,110.036268,308.000000,483.000000,0.121316,0.112147,0.085945,0.341980,479.000000,0.000000,145702.000000,0.000000,8.260165,2512.573127,320.000000,1.496875,5.518273,0.000000
20260823_150454_web_001_17f5_flow_00000,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150454_web_001_17f5_flow_00000_whole,whole_flow,0.000,64.342,0,626.000000,141173.000000,225.515974,75.088578,225.000000,352.500000,0.102947,0.099650,0.071389,0.299067,626.000000,0.000000,141173.000000,0.000000,9.729281,2194.108229,390.000000,1.605128,6.061373,0.000000
20260823_150454_web_001_17f5_flow_00001,real_20260823_150454_web_001_17f5,20260823_150454_web_001_17f5,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150454_web_001_17f5_flow_00001_whole,whole_flow,0.000,53.579,0,607.000000,131573.000000,216.759473,71.930097,216.000000,337.000000,0.088415,0.090958,0.059508,0.260699,607.000000,0.000000,131573.000000,0.000000,11.329011,2455.670534,338.000000,1.795858,6.308412,0.000000
20260823_150634_web_001_ddf0_flow_00000,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150634_web_001_ddf0_flow_00000_whole,whole_flow,0.000,60.272,0,421.000000,107375.000000,255.047506,85.943901,250.000000,405.000000,0.143504,0.147011,0.100628,0.432267,421.000000,0.000000,107375.000000,0.000000,6.985024,1781.512888,296.000000,1.422297,4.911086,0.000000
20260823_150634_web_001_ddf0_flow_00001,real_20260823_150634_web_001_ddf0,20260823_150634_web_001_ddf0,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_150634_web_001_ddf0_flow_00001_whole,whole_flow,0.000,64.157,0,401.000000,93863.000000,234.072319,84.753551,234.000000,381.000000,0.160393,0.170570,0.106007,0.502757,401.000000,0.000000,93863.000000,0.000000,6.250280,1463.017476,296.000000,1.354730,4.613673,0.000000
20260823_150817_web_001_e5b6_flow_00000,real_20260823_150817_web_001_e5b6,20260823_150817_web_001_e5b6,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150817_web_001_e5b6_flow_00000_whole,whole_flow,0.000,61.077,0,567.000000,184504.000000,325.403880,106.459012,327.000000,501.700000,0.107910,0.106090,0.071544,0.307041,567.000000,0.000000,184504.000000,0.000000,9.283353,3020.838998,368.000000,1.540761,6.025174,0.000000
20260823_150817_web_001_e5b6_flow_00001,real_20260823_150817_web_001_e5b6,20260823_150817_web_001_e5b6,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_150817_web_001_e5b6_flow_00001_whole,whole_flow,0.000,61.848,0,494.000000,94558.000000,191.412955,70.889230,189.500000,316.350000,0.125453,0.126403,0.084319,0.376904,494.000000,0.000000,94558.000000,0.000000,7.987286,1528.870035,318.000000,1.553459,5.141613,0.000000
20260823_150936_web_001_534c_flow_00000,real_20260823_150936_web_001_534c,20260823_150936_web_001_534c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150936_web_001_534c_flow_00000_whole,whole_flow,0.000,61.753,0,880.000000,182025.000000,206.846591,70.522984,203.000000,326.050000,0.070254,0.071703,0.046062,0.214483,880.000000,0.000000,182025.000000,0.000000,14.250343,2947.634832,416.000000,2.115385,6.736526,0.000000
