flow_id,file_id,session_id,traffic_class,environment_id,network_condition_id,capture_day,capture_date,collection_batch,device_id,interface_type,tunnel_state,activity_variant,data_origin,dataset_version,window_id,window_type,window_start,window_end,packet_offset,packet_count,byte_count,mean_packet_size,std_packet_size,median_packet_size,p95_packet_size,mean_iat,std_iat,median_iat,p95_iat,forward_packet_count,backward_packet_count,forward_byte_count,backward_byte_count,packet_rate,byte_rate,burst_count,mean_burst_size,burst_rate,direction_switch_count
20260823_144333_web_001_5c95_flow_00000,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00000_win_10s,window_10s,0.000,10.000,0,357.000000,82537.000000,231.196078,77.225529,229.000000,359.000000,0.027959,0.029883,0.018533,0.088003,357.000000,0.000000,82537.000000,0.000000,35.700000,8253.700000,69.000000,5.173913,6.900000,0.000000
20260823_144333_web_001_5c95_flow_00001,real_20260823_144333_web_001_5c95,20260823_144333_web_001_5c95,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_tech_blogs,real,v2,20260823_144333_web_001_5c95_flow_00001_win_10s,window_10s,0.000,10.000,0,649.000000,696258.000000,1072.816641,318.417691,1133.000000,1420.000000,0.015419,0.015515,0.011046,0.043460,649.000000,0.000000,696258.000000,0.000000,64.900000,69625.800000,25.000000,25.960000,2.500000,0.000000
20260823_145151_web_001_0bbf_flow_00000,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00000_win_10s,window_10s,0.000,10.000,0,73.000000,19835.000000,271.712329,97.204132,271.000000,428.000000,0.138746,0.128600,0.095704,0.453335,73.000000,0.000000,19835.000000,0.000000,7.300000,1983.500000,54.000000,1.351852,5.400000,0.000000
20260823_145151_web_001_0bbf_flow_00001,real_20260823_145151_web_001_0bbf,20260823_145151_web_001_0bbf,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145151_web_001_0bbf_flow_00001_win_10s,window_10s,0.000,10.000,0,64.000000,15790.000000,246.718750,72.469276,242.500000,372.850000,0.157983,0.130612,0.124267,0.462735,64.000000,0.000000,15790.000000,0.000000,6.400000,1579.000000,54.000000,1.185185,5.400000,0.000000
20260823_145551_web_001_da0c_flow_00000,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00000_win_10s,window_10s,0.000,10.000,0,85.000000,22637.000000,266.317647,96.209723,274.000000,408.400000,0.116180,0.120424,0.074688,0.407227,85.000000,0.000000,22637.000000,0.000000,8.500000,2263.700000,51.000000,1.666667,5.100000,0.000000
20260823_145551_web_001_da0c_flow_00001,real_20260823_145551_web_001_da0c,20260823_145551_web_001_da0c,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_github_docs,real,v2,20260823_145551_web_001_da0c_flow_00001_win_10s,window_10s,0.000,10.000,0,123.000000,67338.000000,547.463415,176.196596,550.000000,812.600000,0.081142,0.071790,0.058718,0.236180,123.000000,0.000000,67338.000000,0.000000,12.300000,6733.800000,70.000000,1.757143,7.000000,0.000000
20260823_145946_web_001_c866_flow_00000,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00000_win_10s,window_10s,0.000,10.000,0,267.000000,85939.000000,321.868914,109.695944,320.000000,491.800000,0.037537,0.038057,0.025301,0.117510,267.000000,0.000000,85939.000000,0.000000,26.700000,8593.900000,69.000000,3.869565,6.900000,0.000000
20260823_145946_web_001_c866_flow_00001,real_20260823_145946_web_001_c866,20260823_145946_web_001_c866,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_145946_web_001_c866_flow_00001_win_10s,window_10s,0.000,10.000,0,292.000000,99781.000000,341.715753,126.524504,343.000000,547.900000,0.034283,0.033457,0.023291,0.101335,292.000000,0.000000,99781.000000,0.000000,29.200000,9978.100000,73.000000,4.000000,7.300000,0.000000
20260823_150110_web_001_9490_flow_00000,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00000_win_10s,window_10s,0.000,10.000,0,389.000000,320042.000000,822.730077,303.566244,844.000000,1287.800000,0.025694,0.025815,0.018409,0.073365,389.000000,0.000000,320042.000000,0.000000,38.900000,32004.200000,59.000000,6.593220,5.900000,0.000000
20260823_150110_web_001_9490_flow_00001,real_20260823_150110_web_001_9490,20260823_150110_web_001_9490,Web,env_win11_wifi,NORMAL,day_4,2026-08-23,batch_20260823_01,dev_win11_laptop,wifi,warp_enabled,web_ecommerce,real,v2,20260823_150110_web_001_9490_flow_00001_win_10s,window_10s,0.000,10.000,0,234.000000,57382.000000,245.222222,91.336525,250.000000,390.700000,0.042853,0.045564,0.028890,0.123862,234.000000,0.000000,57382.000000,0.000000,23.400000,5738.200000,73.000000,3.205479,7.300000,0.000000
