timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787476417.710933,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476417.710933,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476417.7113,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476417.711548,170,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476417.759911,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476418.416409,145,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476418.417212,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476418.417596,145,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476418.480925,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476419.057657,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476419.057886,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476419.058023,125,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476419.11821,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476419.321529,146,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476419.376669,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476419.376669,157,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476419.376913,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476420.024999,84,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476420.071985,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476420.786538,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476420.786763,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476420.786889,125,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476420.846594,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476421.309339,145,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476421.309603,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476421.309774,145,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476421.366522,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476422.087779,146,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476422.119771,246,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476422.135537,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476422.149718,157,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476422.149955,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476422.170178,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476422.18023,316,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476422.180425,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476422.228118,145,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476422.282797,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.246104,137,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.302349,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.302349,137,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.302585,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.302872,125,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.303221,693,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.352853,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.352853,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.353114,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.355803,344,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.35605,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.356709,761,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.413877,88,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.460464,125,4,UDP,443,52783,,forward,20260823_144333_web_001_5c95,Web
1787476423.460673,88,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474534,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474655,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474699,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474729,603,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.4748,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474858,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474891,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474933,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474957,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.474983,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47501,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475036,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475065,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475091,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475117,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475143,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475168,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47524,691,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475273,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.4753,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475325,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475439,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475514,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475562,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475595,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475621,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475648,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475674,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475703,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475733,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475764,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475791,691,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475816,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475845,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475875,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475922,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475954,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.475983,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476012,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476041,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47607,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47611,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476141,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476172,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476207,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476235,691,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476262,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476296,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476325,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476358,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476389,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47642,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.476449,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.47648,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491091,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491309,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491378,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491406,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.49143,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491475,691,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491519,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
1787476423.491545,1365,4,UDP,52783,443,,forward,20260823_144333_web_001_5c95,Web
