timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787477702.12107,145,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.121357,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.121597,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.183583,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.349446,157,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.397795,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.403816,157,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.404032,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.404323,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.407513,783,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.464322,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.464322,145,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.464322,348,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.464558,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.464784,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.467048,209,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.467503,736,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.52743,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.52743,145,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.52743,322,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.527681,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.527981,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.589912,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.589912,846,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.590176,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.59048,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.651935,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.729825,736,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.791995,88,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.791995,813,4,UDP,443,52783,,forward,20260823_150454_web_001_17f5,Web
1787477702.792326,88,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.793039,145,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
1787477702.820714,736,4,UDP,52783,443,,forward,20260823_150454_web_001_17f5,Web
