timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787478284.996775,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.006265,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.006265,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.006265,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.006265,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.006523,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.027334,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.027525,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.073862,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.073862,465,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.074122,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.074349,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.10486,1038,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.105417,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.135242,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.135242,172,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.135753,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.150864,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.181479,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.211396,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.211396,172,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.211686,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.213166,167,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.214103,167,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.227123,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.257996,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.272728,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.272728,224,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.272728,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.272728,224,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.273104,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.274426,157,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.316792,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.334757,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.334757,157,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.334994,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.33526,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.33616,1365,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.336221,472,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.383793,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.383793,210,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.384012,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1305,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.395895,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.396168,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.396521,275,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.396591,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.425755,788,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.425935,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.450788,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.450788,1240,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.451062,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.457218,559,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.479039,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,207,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518621,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.518972,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.519122,210,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.519206,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.519288,176,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.533901,574,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.533901,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.533901,172,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.534098,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.580428,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.580428,599,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.580645,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.58078,145,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.581005,184,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.581888,125,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.611128,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.61132,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.642205,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.642205,145,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.642205,88,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.642382,88,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.878161,146,4,UDP,52783,443,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1341,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
1787478285.92576,1365,4,UDP,443,52783,,forward,20260823_151441_video_001_104d,Video
