timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787480414.625628,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480414.625628,521,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480414.625924,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480414.734817,165,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480414.735051,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480414.766822,168,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480414.813024,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480414.813024,165,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480414.813331,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480414.814412,169,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480414.852022,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.549982,146,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480415.595114,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.595114,157,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.595439,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480415.800444,146,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480415.843098,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.843098,157,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.843336,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480415.95565,145,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480415.955868,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480415.956069,145,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480416.00224,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480416.018376,84,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480416.06487,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480417.418663,145,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480417.41895,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480417.419077,145,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480417.466242,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480417.623503,145,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480417.623742,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480417.623859,145,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480417.669643,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480418.426041,146,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480418.457066,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480418.457066,157,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480418.457433,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480418.599442,146,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480418.645893,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480418.645893,157,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480418.646144,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480419.019918,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480419.020147,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480419.020349,125,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480419.069518,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480419.541207,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480419.541473,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480419.541658,125,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480419.587302,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.013677,84,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.045398,145,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.045398,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.045718,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.045879,145,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.076883,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.107959,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.108239,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.108433,125,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.15451,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.787572,170,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480420.825709,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.825709,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480420.825997,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.035188,131,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.035534,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.035893,135,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.08128,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.08128,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.081515,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.093315,202,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.093543,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.093854,164,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.126891,88,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.126891,125,4,UDP,443,52783,,forward,20260823_155010_video_001_c5d9,Video
1787480421.127121,88,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
1787480421.141965,389,4,UDP,52783,443,,forward,20260823_155010_video_001_c5d9,Video
