timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787481350.699912,145,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.700127,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.700457,145,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.747657,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.795218,165,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.795494,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.810664,171,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.857884,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.857884,158,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481350.858159,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.157008,126,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.200885,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.200885,137,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.201156,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.282289,131,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.282501,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.282786,135,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.329494,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.329494,125,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.329933,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.691288,146,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.733209,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.733209,157,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.733467,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.901297,125,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.901498,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.901624,125,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481351.943386,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.022243,84,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.068556,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.353466,210,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.353705,210,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.354022,210,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.354305,210,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.399842,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.399842,210,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.399842,145,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.399842,145,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.400275,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.41535,190,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.41557,88,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.415807,190,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.461944,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.820658,1359,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.820741,1363,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.820766,265,4,UDP,52783,443,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,88,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,257,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,1359,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,1363,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,1363,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,1363,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
1787481352.872242,1363,4,UDP,443,52783,,forward,20260823_160546_messaging_001_240e,Messaging
