timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787481512.015814,84,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.059018,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.203585,156,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.204283,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.204579,160,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.251123,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.251123,125,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.251366,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.360853,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.361179,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.361476,145,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.40686,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.548938,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.549188,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.54946,145,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481512.591854,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.309742,146,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.349454,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.349454,157,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.349706,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.390988,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391104,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391147,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.39118,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391213,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391247,681,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391278,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.391307,1365,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.39134,570,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,210,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432116,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.432402,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.478074,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.478285,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.493092,837,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.493273,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.494501,180,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.538606,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.538606,145,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.538842,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.55474,146,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.600635,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.600635,157,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481513.601269,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.168381,125,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.168684,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.168819,125,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.214391,88,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.498315,125,4,UDP,443,52783,,forward,20260823_160828_messaging_001_7f33,Messaging
1787481515.498582,88,4,UDP,52783,443,,forward,20260823_160828_messaging_001_7f33,Messaging
