timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787481591.015723,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.015723,145,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.015966,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.016181,145,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.055629,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.149565,126,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.196671,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.196671,137,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.197443,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.402264,131,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.402481,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.402856,135,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.447121,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.447121,125,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.447339,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.528778,145,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.529034,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.529146,145,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.574758,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.831616,146,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.873202,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.873202,157,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.873478,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.906927,137,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.953484,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.953484,137,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.953708,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481591.954542,738,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.000039,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.000039,125,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.000039,344,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.000305,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.001289,761,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.015166,84,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.030138,125,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.030392,88,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.030561,125,4,UDP,52783,443,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.041998,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
1787481592.061042,88,4,UDP,443,52783,,forward,20260823_160947_messaging_001_869a,Messaging
