timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787481845.230026,125,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.230448,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.230627,125,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.277608,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.482837,145,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.483055,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.483237,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.528808,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.544806,125,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.545095,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.545239,125,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.591344,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.860885,145,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.861277,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.861435,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481845.907453,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.489967,131,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.490189,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.490478,135,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.540983,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.540983,125,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.541461,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.604632,157,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.651026,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.651026,157,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.651343,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.651598,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.654964,1042,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,145,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1213,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704244,1365,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704553,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.704903,535,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.744082,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.744082,316,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.744289,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.744485,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.754378,225,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.754556,779,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.790607,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.806546,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.806546,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.806546,145,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.806546,604,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.80681,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.807017,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.852102,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.85227,146,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.892251,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.892251,157,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.892479,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.914344,1036,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.914625,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.914811,145,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481846.959849,88,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481847.718491,125,4,UDP,443,52783,,forward,20260823_161401_voip_001_b89f,VoIP
1787481847.718698,88,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
1787481847.71893,125,4,UDP,52783,443,,forward,20260823_161401_voip_001_b89f,VoIP
