timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787482013.611045,145,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.611318,88,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.611694,145,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.651099,88,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.689863,126,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.735655,88,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.735655,137,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.735947,88,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.924632,145,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.924884,88,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.925032,145,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482013.97111,88,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.047093,377,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.047321,88,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.049753,383,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.096646,88,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.096646,162,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.096867,88,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.111969,166,4,UDP,52783,443,,forward,20260823_161649_voip_001_c01e,VoIP
1787482014.156642,88,4,UDP,443,52783,,forward,20260823_161649_voip_001_c01e,VoIP
