timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787482086.227624,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.574668,131,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.574906,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.575115,135,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.613668,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.613668,125,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482086.613899,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.161316,146,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.207182,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.207182,157,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.207396,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.728976,125,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.729278,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.729556,125,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482087.767922,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482088.014373,84,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482088.061808,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.200689,145,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.200947,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.201057,145,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.247133,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.834036,145,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.834328,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.834558,145,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482089.880238,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.070245,574,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.070912,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.124428,125,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.164816,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518159,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518269,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518306,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518333,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518358,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.51839,796,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.51842,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518456,1365,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.518488,183,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.529373,153,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.530165,153,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561655,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561655,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561655,210,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561655,275,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561655,184,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.561904,88,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.562664,226,4,UDP,52783,443,,forward,20260823_161758_voip_001_0549,VoIP
1787482090.576677,88,4,UDP,443,52783,,forward,20260823_161758_voip_001_0549,VoIP
