timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787482790.709557,145,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.740369,149,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.740369,125,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.740721,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.740999,170,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.753424,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.753424,145,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.7537,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.753962,145,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.785873,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.801896,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.920746,169,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.921025,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.921719,173,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.957759,125,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.958088,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.9583,125,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.973373,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.973373,145,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.973652,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482790.988554,146,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.003319,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.018877,145,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.034253,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.034253,157,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.034605,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.054269,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.054269,145,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.054567,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.054864,145,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.095312,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.159235,126,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.206575,88,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.206575,137,4,UDP,443,52783,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
1787482791.206872,88,4,UDP,52783,443,,forward,20260823_162946_file_transfer_001_5b75,File Transfer
