timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483091.961678,131,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483091.962103,88,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483091.962402,135,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483092.007679,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483092.007679,125,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483092.008025,88,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483092.025338,84,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483092.073208,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483094.513558,165,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483094.514405,88,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483094.514763,167,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483094.560046,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.022062,84,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.069942,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.249679,416,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.289857,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.292475,431,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.292475,431,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.292475,271,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.292475,271,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.293407,88,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.294009,164,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.29409,164,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.294187,164,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.294261,164,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.296099,1363,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.296194,1363,4,UDP,52783,443,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.339795,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.339795,88,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.339795,431,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.339795,271,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
1787483096.339795,431,4,UDP,443,52783,,forward,20260823_163447_file_transfer_001_d03c,File Transfer
