timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483228.989009,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483228.989248,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483228.989439,145,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.037487,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.430807,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.431044,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.43124,145,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.476819,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.951309,146,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.998601,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.998601,157,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483229.998958,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.931773,169,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.932055,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.932461,173,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.97779,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.97779,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483230.978037,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483232.026037,84,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483232.073135,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.097935,165,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.098234,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.115259,166,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.161439,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.329064,212,4,UDP,62071,1900,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.58815,117,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.588276,347,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.602784,576,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.603077,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.631258,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.631258,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.631258,522,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.63154,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.648876,125,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.695517,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.930304,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.930566,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.930761,145,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483234.97884,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.3414,212,4,UDP,62071,1900,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.575816,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.576029,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.576404,145,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.621879,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483235.955127,146,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.001735,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.001735,157,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.001985,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.01688,84,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.063248,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.2763,125,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.276541,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.276876,125,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.316708,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483236.348409,212,4,UDP,62071,1900,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.356647,212,4,UDP,62071,1900,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.433953,145,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.434192,88,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.434325,145,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.480968,88,4,UDP,443,52783,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520349,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520468,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520515,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520547,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520584,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520626,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520672,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520716,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520752,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
1787483237.520793,1365,4,UDP,52783,443,,forward,20260823_163704_file_transfer_001_2090,File Transfer
