timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483313.674397,146,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.704625,88,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.704625,157,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.705237,88,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.734611,219,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.734857,88,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.782896,125,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483313.814116,88,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483314.09332,165,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483314.093588,88,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483314.116238,166,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483314.146847,88,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.186947,125,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.187205,88,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.187399,125,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.221418,88,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.447824,145,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.448059,88,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.448246,145,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483315.478836,88,4,UDP,443,52783,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
1787483316.01749,84,4,UDP,52783,443,,forward,20260823_163829_file_transfer_001_a40b,File Transfer
