timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483460.324265,158,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.324571,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.327378,199,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.327546,179,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.355384,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.355384,170,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.355683,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.370808,125,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.371112,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.371468,125,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.40195,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.497102,193,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.497483,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.500716,200,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.50101,199,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.528218,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.528218,125,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.52861,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.54354,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.54354,125,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.543857,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.667265,159,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.667637,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.682481,146,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.712941,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.712941,157,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.713221,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.713319,125,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.743703,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.790568,159,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.791177,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.83822,125,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483460.86934,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483461.879973,145,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483461.880399,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483461.880598,145,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483461.911995,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483462.244372,160,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483462.275196,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483462.275196,125,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483462.275735,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.034188,145,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.034482,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.034609,145,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.064185,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.799656,161,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.800213,161,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.800944,161,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.801489,161,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,177,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,189,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,189,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.834769,177,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.835243,88,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.841836,1363,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.842003,1363,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.842063,1363,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.842414,213,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.842917,1359,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.842977,1363,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.84305,449,4,UDP,52783,443,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.87026,88,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.886287,266,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.886287,1363,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
1787483463.886287,1363,4,UDP,443,52783,,forward,20260823_164056_file_transfer_001_1a06,File Transfer
