timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483527.399087,219,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.399422,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.446888,125,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.478086,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.748265,125,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.748514,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.748862,125,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483527.777766,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.014988,84,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.043547,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.251883,145,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.252239,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.25256,145,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483528.284499,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.202261,146,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.233674,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.233674,157,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.234209,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.469706,145,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.470027,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.470349,145,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483529.500277,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.449908,146,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.480673,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.480673,157,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.481249,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.941283,169,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.941584,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.942333,173,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.971372,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.971372,145,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483530.971841,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483531.00181,145,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483531.002025,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483531.002325,145,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483531.031823,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.015479,84,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.046252,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.537592,125,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.538074,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.538425,125,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.56859,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.918577,177,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.919952,177,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.948981,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.948981,401,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.948981,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.9494,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.950428,177,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.956406,1363,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.95656,1363,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.956616,1363,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.956928,214,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.96408,401,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.964451,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.980047,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.980047,401,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.98035,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,266,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,1363,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,1363,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,1363,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.995582,1224,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.99601,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.998843,312,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.999761,1359,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483532.999828,381,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.026458,157,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.026458,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.026896,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.033442,253,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.033442,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.033442,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.033442,240,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.033805,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.034651,164,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.067488,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.548977,1359,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.548977,162,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.549403,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.551367,168,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.585367,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.610702,157,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483533.611022,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.093936,165,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.094372,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.118558,166,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.14998,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.212548,574,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.212966,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.259768,125,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.289988,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.591957,117,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.592131,347,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.622557,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.622557,522,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.622921,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.905016,145,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.905333,88,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.905684,145,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483534.937114,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483535.871725,146,4,UDP,52783,443,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
1787483535.902134,88,4,UDP,443,52783,,forward,20260823_164203_file_transfer_001_0aa3,File Transfer
