timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787483811.697776,146,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483811.729192,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483811.729192,157,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483811.729667,88,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483811.985262,84,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.014792,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.064407,125,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.065095,88,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.065694,125,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.0955,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.142949,131,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.143295,88,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.143986,135,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.174908,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.174908,125,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.175226,88,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.217794,574,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483812.218133,88,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.268261,125,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483812.299902,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483813.636934,126,4,UDP,52783,443,,forward,20260823_164647_other_001_d4e4,Other
1787483813.667275,88,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
1787483813.667275,137,4,UDP,443,52783,,forward,20260823_164647_other_001_d4e4,Other
