timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787484692.151346,447,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484692.151639,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484692.152073,300,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484692.198358,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484692.198358,165,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484692.19856,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484692.818437,165,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484692.818999,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484692.819192,165,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484692.849972,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484693.34203,165,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484693.342243,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484693.34251,165,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484693.373531,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484693.847951,165,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484693.848159,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484693.848334,165,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484693.880148,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484694.83207,104,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484694.864254,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484694.879256,165,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484694.879539,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484694.880325,165,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
1787484694.910277,108,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484695.386868,190,6,UDP,443,50468,,forward,20260823_170113_other_001_b130,Other
1787484695.387455,108,6,UDP,50468,443,,forward,20260823_170113_other_001_b130,Other
