timestamp,packet_length,ip_version,protocol,source_port,destination_port,tcp_flags,direction,session_id,traffic_class
1787484770.643111,145,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484770.643294,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484770.643514,145,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484770.688108,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484770.83135,104,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484770.863151,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484771.022834,508,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.023641,528,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.024884,88,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.025582,108,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.277165,88,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.27789,108,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.531187,88,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.53191,108,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.607751,594,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484771.608242,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484771.657822,145,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484771.687349,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484771.783829,624,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.784644,644,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.78527,565,4,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.785979,585,6,UDP,5353,5353,,forward,20260823_170246_other_001_fe56,Other
1787484771.924352,145,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484771.924573,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484771.924833,145,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484771.953809,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484772.142837,267,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484772.143064,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484772.143494,300,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484772.191821,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484772.191821,165,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484772.191993,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484773.207029,145,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484773.207312,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484773.208198,145,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484773.237557,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484774.82641,104,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484774.858605,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.254848,165,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.254848,230,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.255044,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484775.255272,295,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484775.299841,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.363725,137,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484775.363849,356,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484775.395737,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.411359,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.411359,528,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484775.411864,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484776.158486,165,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484776.158823,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484776.160191,165,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484776.205472,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484776.791579,165,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484776.791894,108,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484776.792475,165,6,UDP,50468,443,,forward,20260823_170246_other_001_fe56,Other
1787484776.838084,108,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
1787484778.271677,165,6,UDP,443,50468,,forward,20260823_170246_other_001_fe56,Other
