feature_name,dtype,role,allowed_for_ml
flow_id,string,METADATA_IDENTIFIER,NO
file_id,string,METADATA_IDENTIFIER,NO
session_id,string,METADATA_IDENTIFIER,NO
data_origin,string,METADATA_IDENTIFIER,NO
flow_duration,float,ML_FEATURE,YES
forward_packet_count,float,ML_FEATURE,YES
backward_packet_count,float,ML_FEATURE,YES
total_packet_count,float,ML_FEATURE,YES
forward_bytes,float,ML_FEATURE,YES
backward_bytes,float,ML_FEATURE,YES
total_bytes,float,ML_FEATURE,YES
avg_packet_size,float,ML_FEATURE,YES
min_packet_size,float,ML_FEATURE,YES
max_packet_size,float,ML_FEATURE,YES
packet_size_variance,float,ML_FEATURE,YES
mean_iat,float,ML_FEATURE,YES
median_iat,float,ML_FEATURE,YES
iat_std,float,ML_FEATURE,YES
min_iat,float,ML_FEATURE,YES
max_iat,float,ML_FEATURE,YES
fwd_bwd_packet_ratio,float,ML_FEATURE,YES
fwd_bwd_byte_ratio,float,ML_FEATURE,YES
burst_count,float,ML_FEATURE,YES
avg_burst_bytes,float,ML_FEATURE,YES
avg_burst_packets,float,ML_FEATURE,YES
protocol,categorical,ML_FEATURE,YES
dst_port,categorical,ML_FEATURE,YES
tls_version,tls,ML_FEATURE,YES
tls_cipher_suites_count,tls,ML_FEATURE,YES
tls_extensions_count,tls,ML_FEATURE,YES
tls_sni_present,tls,ML_FEATURE,YES
traffic_class,string,LABEL,NO
