split,bin_index,bin_range,sample_count,proportion,avg_confidence,empirical_accuracy,calibration_gap,overall_ece,overall_mce,overall_brier,overall_nll
test,1,"[0.00, 0.10]",0,0.0,0.05,0.0,0.0,0.1996,0.5581,0.6061,1.4153
test,2,"[0.10, 0.20]",0,0.0,0.15,0.0,0.0,0.1996,0.5581,0.6061,1.4153
test,3,"[0.20, 0.30]",0,0.0,0.25,0.0,0.0,0.1996,0.5581,0.6061,1.4153
test,4,"[0.30, 0.40]",0,0.0,0.35,0.0,0.0,0.1996,0.5581,0.6061,1.4153
test,5,"[0.40, 0.50]",4,0.0833,0.436,0.0,0.436,0.1996,0.5581,0.6061,1.4153
test,6,"[0.50, 0.60]",8,0.1667,0.5441,0.375,0.1691,0.1996,0.5581,0.6061,1.4153
test,7,"[0.60, 0.70]",10,0.2083,0.6556,0.4,0.2556,0.1996,0.5581,0.6061,1.4153
test,8,"[0.70, 0.80]",5,0.1042,0.7581,0.2,0.5581,0.1996,0.5581,0.6061,1.4153
test,9,"[0.80, 0.90]",11,0.2292,0.8615,0.8182,0.0434,0.1996,0.5581,0.6061,1.4153
test,10,"[0.90, 1.00]",10,0.2083,0.9658,0.9,0.0658,0.1996,0.5581,0.6061,1.4153
