model,feature_profile,feature_count,stage,execution_phase,repetitions,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_fps
N/A (Extractor),profile_5_features,5,feature_extraction,cold,1,1.383,0.0,1.383,1.383,1.383,1.383,1.383,723.1
N/A (Extractor),profile_5_features,5,feature_extraction,warm,200,1.498,3.1217,0.3856,7.1524,9.4675,0.0131,26.8049,667.6
N/A (Extractor),profile_10_features,10,feature_extraction,cold,1,1.383,0.0,1.383,1.383,1.383,1.383,1.383,723.1
N/A (Extractor),profile_10_features,10,feature_extraction,warm,200,1.498,3.1217,0.3856,7.1524,9.4675,0.0131,26.8049,667.6
N/A (Extractor),profile_21_features,21,feature_extraction,cold,1,1.383,0.0,1.383,1.383,1.383,1.383,1.383,723.1
N/A (Extractor),profile_21_features,21,feature_extraction,warm,200,1.498,3.1217,0.3856,7.1524,9.4675,0.0131,26.8049,667.6
N/A (Preprocessor),profile_5_features,5,preprocessing,cold,1,0.0397,0.0,0.0397,0.0397,0.0397,0.0397,0.0397,25188.9
N/A (Preprocessor),profile_5_features,5,preprocessing,warm,500,0.0045,0.0016,0.0042,0.0046,0.0145,0.004,0.0191,222222.2
logistic_regression,profile_5_features,5,inference,cold,1,0.2907,0.0,0.2907,0.2907,0.2907,0.2907,0.2907,3440.0
logistic_regression,profile_5_features,5,inference,warm,500,0.0901,0.0502,0.0721,0.2096,0.3121,0.0626,0.4345,11098.8
logistic_regression,profile_5_features,5,end_to_end,cold,1,1.7154,0.0,1.7154,1.7154,1.7154,1.7154,1.7154,583.0
logistic_regression,profile_5_features,5,end_to_end,warm,500,1.5916,3.1055,0.5092,7.2355,9.5934,0.0839,26.89,628.3
decision_tree,profile_5_features,5,inference,cold,1,0.2562,0.0,0.2562,0.2562,0.2562,0.2562,0.2562,3903.2
decision_tree,profile_5_features,5,inference,warm,500,0.077,0.0457,0.0574,0.1749,0.2347,0.0524,0.4011,12987.0
decision_tree,profile_5_features,5,end_to_end,cold,1,1.6809,0.0,1.6809,1.6809,1.6809,1.6809,1.6809,594.9
decision_tree,profile_5_features,5,end_to_end,warm,500,1.5786,3.1089,0.4711,7.2141,9.6521,0.0719,26.8778,633.5
random_forest,profile_5_features,5,inference,cold,1,3.868,0.0,3.868,3.868,3.868,3.868,3.868,258.5
random_forest,profile_5_features,5,inference,warm,500,5.1489,1.7973,4.3873,9.6011,10.8027,3.4481,11.5755,194.2
random_forest,profile_5_features,5,end_to_end,cold,1,5.2927,0.0,5.2927,5.2927,5.2927,5.2927,5.2927,188.9
random_forest,profile_5_features,5,end_to_end,warm,500,6.6505,3.6406,5.2872,12.5577,18.0953,3.6764,34.8627,150.4
lightgbm,profile_5_features,5,inference,cold,1,0.9009,0.0,0.9009,0.9009,0.9009,0.9009,0.9009,1110.0
lightgbm,profile_5_features,5,inference,warm,500,0.4193,0.1504,0.3541,0.7176,0.9648,0.2875,1.5166,2384.9
lightgbm,profile_5_features,5,end_to_end,cold,1,2.3256,0.0,2.3256,2.3256,2.3256,2.3256,2.3256,430.0
lightgbm,profile_5_features,5,end_to_end,warm,500,1.9209,3.1188,0.8763,7.5031,10.132,0.4769,27.2251,520.6
N/A (Preprocessor),profile_10_features,10,preprocessing,cold,1,0.0347,0.0,0.0347,0.0347,0.0347,0.0347,0.0347,28818.4
N/A (Preprocessor),profile_10_features,10,preprocessing,warm,500,0.0041,0.0046,0.0035,0.004,0.0215,0.0032,0.0697,243902.4
logistic_regression,profile_10_features,10,inference,cold,1,0.4184,0.0,0.4184,0.4184,0.4184,0.4184,0.4184,2390.1
logistic_regression,profile_10_features,10,inference,warm,500,0.0818,0.0392,0.0695,0.1642,0.2656,0.0625,0.3945,12224.9
logistic_regression,profile_10_features,10,end_to_end,cold,1,1.8381,0.0,1.8381,1.8381,1.8381,1.8381,1.8381,544.0
logistic_regression,profile_10_features,10,end_to_end,warm,500,1.583,3.1119,0.4714,7.231,9.5484,0.0856,27.0171,631.7
decision_tree,profile_10_features,10,inference,cold,1,0.2751,0.0,0.2751,0.2751,0.2751,0.2751,0.2751,3635.0
decision_tree,profile_10_features,10,inference,warm,500,0.0641,0.0297,0.0579,0.086,0.1982,0.0529,0.4916,15600.6
decision_tree,profile_10_features,10,end_to_end,cold,1,1.6948,0.0,1.6948,1.6948,1.6948,1.6948,1.6948,590.0
