dataset_id,session_id,metadata_path,sha256,traffic_class,capture_date,environment_id,device_id
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,6be8cb86d32c79696cf7cd066f07b84dec5c1c5da3fbbc759ee0693eff4c6d6c,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,385026ddd8595a56adb291bc5a53b89c1e52d1af9cfb1107ef3461249a144b36,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,b6611fa0a3a4bc6ff3912536885d42a6a6b053ef433238dd6087fe96482cd709,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_999,data\raw\metadata\20260823_web_999.csv,6a2a233bf8c6969b49133219384862654666efa7028afa079170bab4be11f9b1,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_001,data\raw\metadata\20260823_web_001.csv,5cdd860686dbfe9a769ca8a31887295bac15253abc7d001b1927308a9190dc6a,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_web_001,data\raw\metadata\20260823_web_001.csv,5beb315b6c45b1427471e9ced95dbd901f2aea872e61a3f4bba5afd8f3159997,Web,2026-08-23,lab_env_win11,dev_lab_01
dataset_real_v1,20260823_144333_web_001_5c95,data\raw\metadata\20260823_144333_web_001_5c95.csv,31d21b10d31521f892ef0e76e8a534f85782ebdec43011216812a497b310a499,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_145151_web_001_0bbf,data\raw\metadata\20260823_145151_web_001_0bbf.csv,8aa2cf32f9d035782f608729ede27f5e76ae828ff1f3e3b024cdb8bee675ca61,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_145551_web_001_da0c,data\raw\metadata\20260823_145551_web_001_da0c.csv,147dcb4b60e253406fa68471b4c8aab31576efac45cfac1c3933d0595e5c419c,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_145946_web_001_c866,data\raw\metadata\20260823_145946_web_001_c866.csv,4c98e4741e8fe9000ef7592d08469bb80156b6e8f0590b611c5b492b2f694aba,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150110_web_001_9490,data\raw\metadata\20260823_150110_web_001_9490.csv,9293c3b99faf62274f4a5e049a2e6716d6e75bad2abe6f9196c420854dbc20b7,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150323_web_001_2c60,data\raw\metadata\20260823_150323_web_001_2c60.csv,9f8febd45b7ebb3034416445908feb6302c5fcb07beb5e2318a44c8d279d434c,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150454_web_001_17f5,data\raw\metadata\20260823_150454_web_001_17f5.csv,d1d41377fbad17c7caa18d95cbb8b7b2635af23fd98a8022b50f03976a5133ad,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150634_web_001_ddf0,data\raw\metadata\20260823_150634_web_001_ddf0.csv,b87b5bf472f484705d118de55f6bf01140785b4bb59b3f2dca3fa9009946814c,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150817_web_001_e5b6,data\raw\metadata\20260823_150817_web_001_e5b6.csv,bda887f2102731311dcc3394afa6041b832899e62aeaef193d45bb3bd3a24197,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_150936_web_001_534c,data\raw\metadata\20260823_150936_web_001_534c.csv,78c9cec6dd8c10a3e5db5e0c0d7ecdbd75f676fc4281523ca750a3bb46f36974,Web,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
dataset_real_v1,20260823_151441_video_001_104d,data\raw\metadata\20260823_151441_video_001_104d.csv,6b4c955464de30468e812c9d50e6919448e13e8877be5298c4d02f80158eaf9d,Video,2026-08-23,lab_env_win11,dev_lab_01,REAL_LIVE_CAPTURE
