feature_name,traffic_class,count,mean,std,median,min,max
avg_packet_size,File Transfer,18,238.7056,56.2050,239.0118,152.7429,388.0283
avg_packet_size,Messaging,18,597.9810,485.4140,279.7984,172.6840,1309.1112
avg_packet_size,Other,19,341.4673,180.1035,278.5707,78.1111,921.5805
avg_packet_size,Video,18,717.2454,479.3376,800.4824,187.1244,1298.9433
avg_packet_size,VoIP,18,257.9213,80.7068,251.8626,144.0293,453.6884
avg_packet_size,Web,18,356.1989,243.8861,253.4289,188.9140,1107.1664
burst_count,File Transfer,18,11.6111,2.7895,11.5000,8.0000,16.0000
burst_count,Messaging,18,9.4444,3.4338,9.5000,4.0000,15.0000
burst_count,Other,19,14.0526,3.0272,15.0000,4.0000,18.0000
burst_count,Video,18,7.7222,2.8862,8.0000,2.0000,12.0000
burst_count,VoIP,18,10.3889,2.1731,10.5000,6.0000,14.0000
burst_count,Web,18,8.6667,2.8697,9.0000,4.0000,14.0000
max_iat,File Transfer,18,2.8934,0.4624,2.8619,2.0708,3.5650
max_iat,Messaging,18,1.8035,0.2570,1.7250,1.4351,2.1781
max_iat,Other,19,2.8508,1.1715,2.6078,2.0022,7.3555
max_iat,Video,18,2.2285,0.5252,1.9902,1.4051,2.9729
max_iat,VoIP,18,2.5411,0.6159,2.5534,1.5681,3.2958
max_iat,Web,18,2.0986,0.5569,2.3143,1.1966,3.0166
min_packet_size,File Transfer,18,86.0000,2.0580,86.0000,84.0000,88.0000
min_packet_size,Messaging,18,86.0000,2.0580,86.0000,84.0000,88.0000
min_packet_size,Other,19,94.8421,14.1628,104.0000,54.0000,108.0000
min_packet_size,Video,18,86.0000,2.0580,86.0000,84.0000,88.0000
min_packet_size,VoIP,18,86.0000,2.0580,86.0000,84.0000,88.0000
min_packet_size,Web,18,86.0000,2.0580,86.0000,84.0000,88.0000
forward_packet_count,File Transfer,18,479.3333,168.8358,404.0000,312.0000,919.0000
forward_packet_count,Messaging,18,6243.8333,10735.2354,1960.5000,381.0000,45844.0000
forward_packet_count,Other,19,587.9474,330.2428,597.0000,9.0000,1695.0000
forward_packet_count,Video,18,5694.7778,5405.7847,2425.5000,510.0000,16835.0000
forward_packet_count,VoIP,18,481.0000,132.2039,468.0000,310.0000,776.0000
forward_packet_count,Web,18,1124.0556,900.4895,685.0000,401.0000,3726.0000
