feature_name,flow_duration,forward_packet_count,backward_packet_count,total_packet_count,forward_bytes,backward_bytes,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packet_size_variance,mean_iat,median_iat,iat_std,min_iat,max_iat,fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,burst_count,avg_burst_bytes,avg_burst_packets
flow_duration,1.0,0.9976,0.9975,1.0,0.9941,0.9835,0.991,0.9748,-0.0315,0.9936,0.992,-0.0,0.0,-0.0,0.0,0.0,0.127,0.2438,0.0,0.991,1.0
forward_packet_count,0.9976,1.0,0.9903,0.9976,0.9907,0.9708,0.9828,0.9656,-0.0624,0.9877,0.9838,-0.0,0.0,-0.0,0.0,0.0,0.1953,0.3103,0.0,0.9828,0.9976
backward_packet_count,0.9975,0.9903,1.0,0.9975,0.9927,0.9915,0.9943,0.9794,0.0,0.9947,0.9954,-0.0,0.0,-0.0,0.0,0.0,0.0568,0.175,0.0,0.9943,0.9975
total_packet_count,1.0,0.9976,0.9975,1.0,0.9941,0.9835,0.991,0.9748,-0.0315,0.9936,0.992,-0.0,0.0,-0.0,0.0,0.0,0.127,0.2438,0.0,0.991,1.0
forward_bytes,0.9941,0.9907,0.9927,0.9941,1.0,0.991,0.9977,0.986,0.0445,0.9963,0.9965,-0.0,0.0,-0.0,0.0,0.0,0.1118,0.2291,0.0,0.9977,0.9941
backward_bytes,0.9835,0.9708,0.9915,0.9835,0.991,1.0,0.9978,0.9885,0.1023,0.9923,0.9969,-0.0,0.0,-0.0,0.0,0.0,-0.0224,0.0966,0.0,0.9978,0.9835
total_bytes,0.991,0.9828,0.9943,0.991,0.9977,0.9978,1.0,0.9895,0.0741,0.9965,0.999,-0.0,0.0,-0.0,0.0,0.0,0.0436,0.1621,0.0,1.0,0.991
avg_packet_size,0.9748,0.9656,0.9794,0.9748,0.986,0.9885,0.9895,1.0,0.192,0.9938,0.9825,-0.0,0.0,-0.0,0.0,0.0,0.0249,0.1462,0.0,0.9895,0.9748
min_packet_size,-0.0315,-0.0624,0.0,-0.0315,0.0445,0.1023,0.0741,0.192,1.0,0.0818,0.0378,-0.0,0.0,-0.0,0.0,0.0,-0.4472,-0.418,0.0,0.0741,-0.0315
max_packet_size,0.9936,0.9877,0.9947,0.9936,0.9963,0.9923,0.9965,0.9938,0.0818,1.0,0.9935,-0.0,0.0,-0.0,0.0,0.0,0.076,0.1958,0.0,0.9965,0.9936
packet_size_variance,0.992,0.9838,0.9954,0.992,0.9965,0.9969,0.999,0.9825,0.0378,0.9935,1.0,-0.0,0.0,-0.0,0.0,0.0,0.043,0.1603,0.0,0.999,0.992
mean_iat,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
median_iat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iat_std,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
min_iat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
max_iat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fwd_bwd_packet_ratio,0.127,0.1953,0.0568,0.127,0.1118,-0.0224,0.0436,0.0249,-0.4472,0.076,0.043,0.0,0.0,0.0,0.0,0.0,1.0,0.9925,0.0,0.0436,0.127
fwd_bwd_byte_ratio,0.2438,0.3103,0.175,0.2438,0.2291,0.0966,0.1621,0.1462,-0.418,0.1958,0.1603,0.0,0.0,0.0,0.0,0.0,0.9925,1.0,0.0,0.1621,0.2438
burst_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
avg_burst_bytes,0.991,0.9828,0.9943,0.991,0.9977,0.9978,1.0,0.9895,0.0741,0.9965,0.999,-0.0,0.0,-0.0,0.0,0.0,0.0436,0.1621,0.0,1.0,0.991
avg_burst_packets,1.0,0.9976,0.9975,1.0,0.9941,0.9835,0.991,0.9748,-0.0315,0.9936,0.992,-0.0,0.0,-0.0,0.0,0.0,0.127,0.2438,0.0,0.991,1.0
