model,feature_count,macro_f1,accuracy,latency_ms,model_size_mb,lightweight_score,is_pareto_optimal
logistic_regression,21,0.0,0.0,0.0,0.0014,0.3503,NO
decision_tree,21,0.1111,0.1667,0.0,0.0007,0.6575,NO
random_forest,21,0.0833,0.1667,0.0,0.0005,0.6488,NO
lightgbm,21,0.1111,0.1667,0.0,0.0005,0.6939,NO
logistic_regression,15,0.0,0.0,0.0,0.001,0.423,NO
decision_tree,15,0.1111,0.1667,0.0,0.0006,0.6757,NO
random_forest,15,0.0833,0.1667,0.0,0.0004,0.667,NO
lightgbm,15,0.1111,0.1667,0.0,0.0005,0.6939,NO
logistic_regression,10,0.0,0.0,0.0,0.0008,0.4593,NO
decision_tree,10,0.2778,0.3333,0.0,0.0005,0.9639,NO
random_forest,10,0.2778,0.3333,0.0,0.0004,0.9821,NO
lightgbm,10,0.0,0.0,0.0,0.0004,0.5321,NO
logistic_regression,5,0.0,0.0,0.0,0.0005,0.5139,NO
decision_tree,5,0.0,0.0,0.0,0.0004,0.5321,NO
random_forest,5,0.0833,0.1667,0.0,0.0003,0.6852,NO
lightgbm,5,0.0,0.0,0.0,0.0004,0.5321,NO
logistic_regression,3,0.0,0.0,0.0,0.0004,0.5321,NO
decision_tree,3,0.1667,0.1667,0.0,0.0003,0.8203,NO
random_forest,3,0.0,0.0,0.0,0.0003,0.5503,NO
lightgbm,3,0.2778,0.3333,0.0,0.0003,1.0003,YES
