consensus_rank,feature,composite_score,mutual_information_rank,random_forest_rank,lightgbm_rank,permutation_rank
1,flow_duration,0.057234,1,1,1,1
2,total_packet_count,0.057234,4,4,4,2
3,forward_bytes,0.057234,5,5,5,3
4,backward_bytes,0.057234,6,6,6,4
5,total_bytes,0.057234,7,7,7,5
6,min_packet_size,0.057234,9,9,9,6
7,packet_size_variance,0.057234,11,11,11,7
8,fwd_bwd_byte_ratio,0.057234,13,18,18,8
9,avg_burst_bytes,0.057234,14,20,20,9
10,forward_packet_count,0.053389,2,2,2,10
11,avg_packet_size,0.051464,8,8,8,11
12,max_packet_size,0.049543,10,10,10,12
13,fwd_bwd_packet_ratio,0.049543,12,17,17,13
14,backward_packet_count,0.047619,3,3,3,14
15,avg_burst_packets,0.047619,15,21,21,21
16,mean_iat,0.030952,16,12,12,15
17,median_iat,0.030952,17,13,13,16
18,iat_std,0.030952,18,14,14,17
19,min_iat,0.030952,19,15,15,18
20,max_iat,0.030952,20,16,16,19
21,burst_count,0.030952,21,19,19,20
