model,feature_count,macro_f1,delta_macro_f1,accuracy,delta_accuracy,weighted_f1,latency_ms,latency_reduction_percent,model_size_mb,model_size_reduction_percent
logistic_regression,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,0.0
decision_tree,21,0.1111,0.0,0.1667,0.0,0.1111,0.0,0.0,0.0007,0.0
random_forest,21,0.0833,0.0,0.1667,0.0,0.0833,0.0,0.0,0.0005,0.0
lightgbm,21,0.1111,0.0,0.1667,0.0,0.1111,0.0,0.0,0.0005,0.0
logistic_regression,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,28.57
decision_tree,15,0.1111,0.0,0.1667,0.0,0.1111,0.0,0.0,0.0006,14.29
random_forest,15,0.0833,0.0,0.1667,0.0,0.0833,0.0,0.0,0.0004,20.0
lightgbm,15,0.1111,0.0,0.1667,0.0,0.1111,0.0,0.0,0.0005,0.0
logistic_regression,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,42.86
decision_tree,10,0.2778,0.1667,0.3333,0.1666,0.2778,0.0,0.0,0.0005,28.57
random_forest,10,0.2778,0.1945,0.3333,0.1666,0.2778,0.0,0.0,0.0004,20.0
lightgbm,10,0.0,-0.1111,0.0,-0.1667,0.0,0.0,0.0,0.0004,20.0
logistic_regression,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,64.29
decision_tree,5,0.0,-0.1111,0.0,-0.1667,0.0,0.0,0.0,0.0004,42.86
random_forest,5,0.0833,0.0,0.1667,0.0,0.0833,0.0,0.0,0.0003,40.0
lightgbm,5,0.0,-0.1111,0.0,-0.1667,0.0,0.0,0.0,0.0004,20.0
logistic_regression,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,71.43
decision_tree,3,0.1667,0.0556,0.1667,0.0,0.1667,0.0,0.0,0.0003,57.14
random_forest,3,0.0,-0.0833,0.0,-0.1667,0.0,0.0,0.0,0.0003,40.0
lightgbm,3,0.2778,0.1667,0.3333,0.1666,0.2778,0.0,0.0,0.0003,40.0
