feature_name,count,mean,std,min,median,max
flow_duration,11,0.6591,0.2945,0.35,0.55,1.2
forward_packet_count,11,7.1818,3.0397,4.0,6.0,13.0
backward_packet_count,11,7.0,2.8604,4.0,6.0,12.0
total_packet_count,11,14.1818,5.8902,8.0,12.0,25.0
forward_bytes,11,1245.0909,769.0014,488.0,924.0,2912.0
backward_bytes,11,1262.7273,733.9915,528.0,984.0,2688.0
total_bytes,11,2507.8182,1499.8711,1016.0,1908.0,5600.0
avg_packet_size,11,164.4545,30.3955,127.0,159.0,224.0
min_packet_size,11,98.5455,5.9752,92.0,104.0,104.0
max_packet_size,11,230.3636,59.5548,162.0,214.0,344.0
packet_size_variance,11,1956.8182,1552.5184,525.0,1191.6667,5200.0
mean_iat,11,0.05,0.0,0.05,0.05,0.05
median_iat,11,0.05,0.0,0.05,0.05,0.05
iat_std,11,0.0,0.0,0.0,0.0,0.0
min_iat,11,0.05,0.0,0.05,0.05,0.05
max_iat,11,0.05,0.0,0.05,0.05,0.05
fwd_bwd_packet_ratio,11,1.0206,0.0454,1.0,1.0,1.1429
fwd_bwd_byte_ratio,11,0.9691,0.0696,0.9242,0.939,1.1429
burst_count,11,1.0,0.0,1.0,1.0,1.0
avg_burst_bytes,11,2507.8182,1499.8711,1016.0,1908.0,5600.0
avg_burst_packets,11,14.1818,5.8902,8.0,12.0,25.0
