flow_id,session_id,class,reason,rule,packet_count,byte_count
20260823_144333_web_001_5c95_flow_00002,20260823_144333_web_001_5c95,Web,Multi-class background control traffic (mDNS (Multicast DNS)) repeated across 3 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,24,1920
20260823_144333_web_001_5c95_flow_00003,20260823_144333_web_001_5c95,Web,Multi-class background control traffic (NetBIOS Name Service) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,3,276
20260823_144333_web_001_5c95_flow_00004,20260823_144333_web_001_5c95,Web,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_144333_web_001_5c95_flow_00005,20260823_144333_web_001_5c95,Web,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_145946_web_001_c866_flow_00002,20260823_145946_web_001_c866,Web,Local discovery/broadcast control artifact (mDNS (Multicast DNS)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,6,552
20260823_150323_web_001_2c60_flow_00002,20260823_150323_web_001_2c60,Web,Multi-class background control traffic (mDNS (Multicast DNS)) repeated across 3 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,24,1920
20260823_150323_web_001_2c60_flow_00003,20260823_150323_web_001_2c60,Web,Multi-class background control traffic (NetBIOS Name Service) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,3,276
20260823_150323_web_001_2c60_flow_00004,20260823_150323_web_001_2c60,Web,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_150323_web_001_2c60_flow_00005,20260823_150323_web_001_2c60,Web,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_150454_web_001_17f5_flow_00002,20260823_150454_web_001_17f5,Web,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_150634_web_001_ddf0_flow_00002,20260823_150634_web_001_ddf0,Web,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_150817_web_001_e5b6_flow_00002,20260823_150817_web_001_e5b6,Web,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_151441_video_001_104d_flow_00002,20260823_151441_video_001_104d,Video,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_151621_video_001_efa4_flow_00002,20260823_151621_video_001_efa4,Video,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_154438_video_001_566f_flow_00003,20260823_154438_video_001_566f,Video,Local discovery/broadcast control artifact (SSDP (Simple Service Discovery Protocol)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,3,636
20260823_154613_video_001_c9ea_flow_00003,20260823_154613_video_001_c9ea,Video,Local discovery/broadcast control artifact (SSDP (Simple Service Discovery Protocol)) unassociated with targeted application session,RULE_DISCOVERY_CONTROL_ARTIFACT,3,636
20260823_154851_video_001_b4dc_flow_00002,20260823_154851_video_001_b4dc,Video,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_155216_video_001_1ce3_flow_00002,20260823_155216_video_001_1ce3,Video,Multi-class background control traffic (SSDP (Simple Service Discovery Protocol)) repeated across 6 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,848
20260823_155349_messaging_001_f90a_flow_00002,20260823_155349_messaging_001_f90a,Messaging,Multi-class background control traffic (mDNS (Multicast DNS)) repeated across 3 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,24,1920
20260823_155349_messaging_001_f90a_flow_00003,20260823_155349_messaging_001_f90a,Messaging,Multi-class background control traffic (NetBIOS Name Service) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,3,276
20260823_155349_messaging_001_f90a_flow_00004,20260823_155349_messaging_001_f90a,Messaging,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
20260823_155349_messaging_001_f90a_flow_00005,20260823_155349_messaging_001_f90a,Messaging,Multi-class background control traffic (LLMNR (Link-Local Multicast Name Resolution)) repeated across 4 classes,RULE_MULTICLASS_CONTROL_TRAFFIC,4,296
