model,fold,macro_f1,accuracy,weighted_f1,precision_macro,recall_macro,val_flows,val_sessions
logistic_regression,1,0.1029,0.1905,0.1176,0.0753,0.1667,21,10
logistic_regression,2,0.0175,0.0455,0.0096,0.0098,0.0833,22,11
logistic_regression,3,0.0000,0.0000,0.0000,0.0000,0.0000,22,11
logistic_regression,4,0.1097,0.2727,0.1629,0.0794,0.1806,22,11
logistic_regression,5,0.1000,0.2727,0.1636,0.0714,0.1667,22,11
logistic_regression (MEAN),ALL,0.0660,0.1563,0.0907,0.0472,0.1195,109,-
decision_tree,1,0.1222,0.1429,0.1492,0.1222,0.1310,21,10
decision_tree,2,0.0779,0.0909,0.0756,0.0667,0.1111,22,11
decision_tree,3,0.0787,0.0909,0.1086,0.1167,0.0694,22,11
decision_tree,4,0.1606,0.2273,0.2628,0.1917,0.1389,22,11
decision_tree,5,0.1037,0.1364,0.1697,0.1389,0.0833,22,11
decision_tree (MEAN),ALL,0.1086,0.1377,0.1532,0.1272,0.1067,109,-
random_forest,1,0.1772,0.1905,0.2071,0.2417,0.2143,21,10
random_forest,2,0.1893,0.1818,0.2110,0.2361,0.1806,22,11
random_forest,3,0.1037,0.1364,0.1495,0.1167,0.0972,22,11
random_forest,4,0.0000,0.0000,0.0000,0.0000,0.0000,22,11
random_forest,5,0.1590,0.2273,0.2601,0.1905,0.1389,22,11
random_forest (MEAN),ALL,0.1258,0.1472,0.1655,0.1570,0.1262,109,-
lightgbm,1,0.2000,0.1905,0.1778,0.2014,0.2321,21,10
lightgbm,2,0.0513,0.0909,0.0839,0.0476,0.0556,22,11
lightgbm,3,0.1436,0.1818,0.1622,0.1270,0.1667,22,11
lightgbm,4,0.0333,0.0455,0.0545,0.0417,0.0278,22,11
lightgbm,5,0.1082,0.1364,0.1251,0.1000,0.1389,22,11
lightgbm (MEAN),ALL,0.1073,0.1290,0.1207,0.1035,0.1242,109,-
