column_name,feature_type,status,leakage_risk,ml_inclusion_allowed
flow_id,excluded_metadata,EXCLUDED_METADATA,CRITICAL_IF_INCLUDED,NO
file_id,excluded_metadata,EXCLUDED_METADATA,CRITICAL_IF_INCLUDED,NO
session_id,excluded_metadata,EXCLUDED_METADATA,CRITICAL_IF_INCLUDED,NO
data_origin,excluded_metadata,EXCLUDED_METADATA,CRITICAL_IF_INCLUDED,NO
flow_duration,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
forward_packet_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
backward_packet_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
total_packet_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
forward_bytes,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
backward_bytes,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
total_bytes,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
avg_packet_size,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
min_packet_size,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
max_packet_size,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
packet_size_variance,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
mean_iat,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
median_iat,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
iat_std,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
min_iat,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
max_iat,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
fwd_bwd_packet_ratio,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
fwd_bwd_byte_ratio,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
burst_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
avg_burst_bytes,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
avg_burst_packets,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
protocol,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
dst_port,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
tls_version,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
tls_cipher_suites_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
tls_extensions_count,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
tls_sni_present,intended_ml_feature,VALID_ML_FEATURE,NONE,YES
traffic_class,label,EXCLUDED_METADATA,CRITICAL_IF_INCLUDED,NO
