flow_id,true_class,predicted_class,confidence_if_available,confidence,model,session_id,dst_port,protocol,total_packets,total_bytes
20260823_145151_web_001_0bbf_flow_00000,Web,File Transfer,0.9500,0.9500,logistic_regression,20260823_145151_web_001_0bbf,52783,UDP,528,144588
20260823_145151_web_001_0bbf_flow_00001,Web,File Transfer,0.9500,0.9500,logistic_regression,20260823_145151_web_001_0bbf,443,UDP,484,108317
20260823_155216_video_001_1ce3_flow_00000,Video,File Transfer,0.9500,0.9500,logistic_regression,20260823_155216_video_001_1ce3,443,UDP,446,109092
20260823_155216_video_001_1ce3_flow_00001,Video,File Transfer,0.9500,0.9500,logistic_regression,20260823_155216_video_001_1ce3,52783,UDP,490,146070
20260823_160947_messaging_001_869a_flow_00000,Messaging,File Transfer,0.9500,0.9500,logistic_regression,20260823_160947_messaging_001_869a,52783,UDP,451,114028
20260823_160947_messaging_001_869a_flow_00001,Messaging,File Transfer,0.9500,0.9500,logistic_regression,20260823_160947_messaging_001_869a,443,UDP,419,73897
20260823_162302_voip_001_6194_flow_00000,VoIP,Web,0.9500,0.9500,logistic_regression,20260823_162302_voip_001_6194,52783,UDP,608,268765
20260823_162302_voip_001_6194_flow_00001,VoIP,File Transfer,0.9500,0.9500,logistic_regression,20260823_162302_voip_001_6194,443,UDP,486,110968
20260823_170113_other_001_b130_flow_00000,Other,Web,0.9500,0.9500,logistic_regression,20260823_170113_other_001_b130,50468,UDP,1492,799430
20260823_170113_other_001_b130_flow_00001,Other,Web,0.9500,0.9500,logistic_regression,20260823_170113_other_001_b130,443,UDP,1264,560507
20260823_145151_web_001_0bbf_flow_00001,Web,File Transfer,0.9500,0.9500,decision_tree,20260823_145151_web_001_0bbf,443,UDP,484,108317
20260823_155216_video_001_1ce3_flow_00000,Video,Other,0.9500,0.9500,decision_tree,20260823_155216_video_001_1ce3,443,UDP,446,109092
20260823_155216_video_001_1ce3_flow_00001,Video,VoIP,0.9500,0.9500,decision_tree,20260823_155216_video_001_1ce3,52783,UDP,490,146070
20260823_160947_messaging_001_869a_flow_00000,Messaging,VoIP,0.9500,0.9500,decision_tree,20260823_160947_messaging_001_869a,52783,UDP,451,114028
20260823_160947_messaging_001_869a_flow_00001,Messaging,Web,0.9500,0.9500,decision_tree,20260823_160947_messaging_001_869a,443,UDP,419,73897
20260823_162302_voip_001_6194_flow_00000,VoIP,Web,0.9500,0.9500,decision_tree,20260823_162302_voip_001_6194,52783,UDP,608,268765
20260823_162302_voip_001_6194_flow_00001,VoIP,File Transfer,0.9500,0.9500,decision_tree,20260823_162302_voip_001_6194,443,UDP,486,110968
20260823_163126_file_transfer_001_bea6_flow_00000,File Transfer,Video,0.9500,0.9500,decision_tree,20260823_163126_file_transfer_001_bea6,52783,UDP,367,88701
