session_id,traffic_class,metadata_exists,flows_count,features_count,manifest_pkts,metadata_pkts,manifest_bytes,metadata_bytes,status,details
20260823_144333_web_001_5c95,Web,True,6,6,6082,6082,4670741,4670741,PASS,Consistent
20260823_145151_web_001_0bbf,Web,True,2,2,1012,1012,252905,252905,PASS,Consistent
20260823_145551_web_001_da0c,Web,True,2,2,1367,1367,566121,566121,PASS,Consistent
20260823_145946_web_001_c866,Web,True,3,3,3336,3336,1123635,1123635,PASS,Consistent
20260823_150110_web_001_9490,Web,True,2,2,3557,3557,2234080,2234080,PASS,Consistent
20260823_150323_web_001_2c60,Web,True,6,6,944,944,231067,231067,PASS,Consistent
20260823_150454_web_001_17f5,Web,True,3,3,1237,1237,270996,270996,PASS,Consistent
20260823_150634_web_001_ddf0,Web,True,3,3,826,826,201681,201681,PASS,Consistent
20260823_150817_web_001_e5b6,Web,True,3,3,1065,1065,278851,278851,PASS,Consistent
20260823_150936_web_001_534c,Web,True,2,2,1909,1909,555950,555950,PASS,Consistent
20260823_151441_video_001_104d,Video,True,3,3,17955,17955,20001413,20001413,PASS,Consistent
20260823_151621_video_001_efa4,Video,True,3,3,5048,5048,4709222,4709222,PASS,Consistent
20260823_153012_video_001_641b,Video,True,2,2,15001,15001,13878199,13878199,PASS,Consistent
20260823_153142_video_001_2480,Video,True,2,2,1489,1489,906987,906987,PASS,Consistent
20260823_154438_video_001_566f,Video,True,3,3,15629,15629,17478645,17478645,PASS,Consistent
20260823_154613_video_001_c9ea,Video,True,3,3,12398,12398,13702833,13702833,PASS,Consistent
20260823_154721_video_001_0564,Video,True,2,2,19175,19175,22305529,22305529,PASS,Consistent
20260823_154851_video_001_b4dc,Video,True,3,3,3194,3194,2628498,2628498,PASS,Consistent
20260823_155010_video_001_c5d9,Video,True,2,2,12641,12641,13161489,13161489,PASS,Consistent
20260823_155216_video_001_1ce3,Video,True,3,3,940,940,256010,256010,PASS,Consistent
20260823_155349_messaging_001_f90a,Messaging,True,6,6,7342,7342,7444988,7444988,PASS,Consistent
20260823_155823_messaging_001_2056,Messaging,True,2,2,52257,52257,61407362,61407362,PASS,Consistent
20260823_160152_messaging_001_2144,Messaging,True,2,2,14688,14688,16750881,16750881,PASS,Consistent
20260823_160304_messaging_001_b4de,Messaging,True,3,3,15358,15358,17211974,17211974,PASS,Consistent
20260823_160438_messaging_001_3d1b,Messaging,True,3,3,9435,9435,9033864,9033864,PASS,Consistent
20260823_160546_messaging_001_240e,Messaging,True,2,2,10045,10045,10884044,10884044,PASS,Consistent
20260823_160655_messaging_001_72b1,Messaging,True,3,3,1385,1385,698146,698146,PASS,Consistent
20260823_160828_messaging_001_7f33,Messaging,True,3,3,793,793,179606,179606,PASS,Consistent
20260823_160947_messaging_001_869a,Messaging,True,2,2,871,871,188059,188059,PASS,Consistent
20260823_161053_messaging_001_e319,Messaging,True,3,3,1143,1143,406911,406911,PASS,Consistent
20260823_161401_voip_001_b89f,VoIP,True,6,6,1172,1172,372079,372079,PASS,Consistent
20260823_161509_voip_001_9812,VoIP,True,3,3,1051,1051,253215,253215,PASS,Consistent
20260823_161649_voip_001_c01e,VoIP,True,3,3,882,882,237468,237468,PASS,Consistent
20260823_161758_voip_001_0549,VoIP,True,2,2,630,630,129123,129123,PASS,Consistent
20260823_161916_voip_001_7fd9,VoIP,True,2,2,1166,1166,392339,392339,PASS,Consistent
20260823_162123_voip_001_51e2,VoIP,True,2,2,733,733,191684,191684,PASS,Consistent
20260823_162302_voip_001_6194,VoIP,True,3,3,1098,1098,380581,380581,PASS,Consistent
20260823_162426_voip_001_9219,VoIP,True,3,3,1450,1450,396364,396364,PASS,Consistent
20260823_162544_voip_001_9fd7,VoIP,True,2,2,933,933,209115,209115,PASS,Consistent
20260823_162704_voip_001_571e,VoIP,True,3,3,693,693,150102,150102,PASS,Consistent
20260823_162946_file_transfer_001_5b75,File Transfer,True,2,2,1032,1032,257840,257840,PASS,Consistent
