rank,feature_name,consensus_score
1,avg_packet_size,0.8762
2,burst_count,0.8762
3,max_iat,0.8412
4,min_packet_size,0.7953
5,forward_packet_count,0.7582
6,fwd_bwd_byte_ratio,0.7214
7,fwd_bwd_packet_ratio,0.7110
8,total_bytes,0.6973
9,total_packet_count,0.6366
10,avg_burst_bytes,0.6329
11,min_iat,0.6281
12,mean_iat,0.6114
13,forward_bytes,0.6078
14,avg_burst_packets,0.6004
15,iat_std,0.5506
16,packet_size_variance,0.5481
17,flow_duration,0.5413
18,median_iat,0.5376
19,max_packet_size,0.5367
20,dst_port,0.4873
21,backward_packet_count,0.4500
22,backward_bytes,0.4500
23,protocol,0.4500
24,tls_version,0.4500
25,tls_cipher_suites_count,0.4500
26,tls_extensions_count,0.4500
27,tls_sni_present,0.4500
