feature_1,feature_2,pearson_corr,spearman_corr,abs_pearson,highly_correlated
forward_packet_count,total_packet_count,1.0000,1.0000,1.0000,YES
forward_packet_count,fwd_bwd_packet_ratio,1.0000,1.0000,1.0000,YES
total_packet_count,fwd_bwd_packet_ratio,1.0000,1.0000,1.0000,YES
forward_bytes,total_bytes,1.0000,1.0000,1.0000,YES
forward_bytes,fwd_bwd_byte_ratio,1.0000,1.0000,1.0000,YES
total_bytes,fwd_bwd_byte_ratio,1.0000,1.0000,1.0000,YES
forward_packet_count,forward_bytes,0.9922,0.9592,0.9922,YES
forward_packet_count,total_bytes,0.9922,0.9592,0.9922,YES
forward_packet_count,fwd_bwd_byte_ratio,0.9922,0.9592,0.9922,YES
total_packet_count,forward_bytes,0.9922,0.9592,0.9922,YES
total_packet_count,total_bytes,0.9922,0.9592,0.9922,YES
total_packet_count,fwd_bwd_byte_ratio,0.9922,0.9592,0.9922,YES
forward_bytes,fwd_bwd_packet_ratio,0.9922,0.9592,0.9922,YES
total_bytes,fwd_bwd_packet_ratio,0.9922,0.9592,0.9922,YES
fwd_bwd_packet_ratio,fwd_bwd_byte_ratio,0.9922,0.9592,0.9922,YES
mean_iat,iat_std,0.9875,0.9639,0.9875,YES
flow_duration,protocol,-0.9872,0.0493,0.9872,YES
mean_iat,median_iat,0.9862,0.9002,0.9862,YES
avg_burst_bytes,avg_burst_packets,0.9845,0.9546,0.9845,YES
median_iat,protocol,0.9747,0.1590,0.9747,YES
flow_duration,median_iat,-0.9710,-0.1931,0.9710,YES
forward_packet_count,avg_burst_bytes,0.9535,0.9399,0.9535,YES
total_packet_count,avg_burst_bytes,0.9535,0.9399,0.9535,YES
fwd_bwd_packet_ratio,avg_burst_bytes,0.9535,0.9399,0.9535,YES
median_iat,iat_std,0.9523,0.8182,0.9523,YES
forward_bytes,avg_burst_bytes,0.9518,0.9664,0.9518,YES
total_bytes,avg_burst_bytes,0.9518,0.9664,0.9518,YES
fwd_bwd_byte_ratio,avg_burst_bytes,0.9518,0.9664,0.9518,YES
mean_iat,protocol,0.9472,0.2517,0.9472,YES
flow_duration,mean_iat,-0.9442,-0.1989,0.9442,YES
max_packet_size,protocol,-0.9417,0.4017,0.9417,YES
forward_packet_count,avg_burst_packets,0.9321,0.9335,0.9321,YES
total_packet_count,avg_burst_packets,0.9321,0.9335,0.9321,YES
fwd_bwd_packet_ratio,avg_burst_packets,0.9321,0.9335,0.9321,YES
max_packet_size,median_iat,-0.9301,-0.4839,0.9301,YES
flow_duration,max_packet_size,0.9262,0.1377,0.9262,YES
forward_bytes,avg_burst_packets,0.9115,0.8901,0.9115,YES
total_bytes,avg_burst_packets,0.9115,0.8901,0.9115,YES
fwd_bwd_byte_ratio,avg_burst_packets,0.9115,0.8901,0.9115,YES
max_packet_size,mean_iat,-0.9063,-0.4121,0.9063,YES
flow_duration,iat_std,-0.8993,-0.1944,0.8993,NO
iat_std,protocol,0.8993,0.3150,0.8993,NO
max_packet_size,iat_std,-0.8618,-0.3134,0.8618,NO
min_iat,dst_port,-0.8377,-0.6332,0.8377,NO
iat_std,max_iat,0.7980,0.7066,0.7980,NO
mean_iat,max_iat,0.7460,0.5876,0.7460,NO
forward_bytes,avg_packet_size,0.7065,0.7084,0.7065,NO
total_bytes,avg_packet_size,0.7065,0.7084,0.7065,NO
avg_packet_size,fwd_bwd_byte_ratio,0.7065,0.7084,0.7065,NO
forward_packet_count,avg_packet_size,0.6989,0.5350,0.6989,NO
total_packet_count,avg_packet_size,0.6989,0.5350,0.6989,NO
avg_packet_size,fwd_bwd_packet_ratio,0.6989,0.5350,0.6989,NO
median_iat,max_iat,0.6886,0.4544,0.6886,NO
avg_packet_size,avg_burst_bytes,0.6292,0.6540,0.6292,NO
flow_duration,max_iat,-0.6277,-0.0945,0.6277,NO
max_iat,protocol,0.6262,0.2414,0.6262,NO
avg_packet_size,avg_burst_packets,0.6118,0.4671,0.6118,NO
max_packet_size,max_iat,-0.5997,-0.0755,0.5997,NO
min_packet_size,max_packet_size,0.4972,0.5161,0.4972,NO
min_packet_size,median_iat,-0.4904,-0.1052,0.4904,NO
packet_size_variance,min_iat,-0.4841,-0.5341,0.4841,NO
min_packet_size,protocol,-0.4674,0.5223,0.4674,NO
flow_duration,min_packet_size,0.4633,0.0844,0.4633,NO
burst_count,avg_burst_packets,-0.4609,-0.7530,0.4609,NO
min_packet_size,mean_iat,-0.4559,-0.0297,0.4559,NO
packet_size_variance,dst_port,0.4548,0.4340,0.4548,NO
min_packet_size,burst_count,0.4403,0.3780,0.4403,NO
avg_packet_size,min_iat,-0.4382,-0.6642,0.4382,NO
avg_packet_size,dst_port,0.4376,0.5102,0.4376,NO
avg_packet_size,packet_size_variance,0.4205,0.8047,0.4205,NO
min_packet_size,iat_std,-0.4018,0.0388,0.4018,NO
burst_count,avg_burst_bytes,-0.3855,-0.6462,0.3855,NO
forward_packet_count,burst_count,-0.3805,-0.5242,0.3805,NO
total_packet_count,burst_count,-0.3805,-0.5242,0.3805,NO
fwd_bwd_packet_ratio,burst_count,-0.3805,-0.5242,0.3805,NO
avg_packet_size,iat_std,-0.3780,-0.4758,0.3780,NO
min_packet_size,packet_size_variance,0.3695,0.5153,0.3695,NO
forward_bytes,burst_count,-0.3244,-0.4742,0.3244,NO
total_bytes,burst_count,-0.3244,-0.4742,0.3244,NO
fwd_bwd_byte_ratio,burst_count,-0.3244,-0.4742,0.3244,NO
avg_packet_size,burst_count,-0.3003,-0.1458,0.3003,NO
forward_packet_count,iat_std,-0.2995,-0.9650,0.2995,YES
total_packet_count,iat_std,-0.2995,-0.9650,0.2995,YES
iat_std,fwd_bwd_packet_ratio,-0.2995,-0.9650,0.2995,YES
avg_packet_size,mean_iat,-0.2972,-0.5360,0.2972,NO
max_iat,burst_count,0.2948,0.4651,0.2948,NO
avg_packet_size,max_iat,-0.2816,-0.1845,0.2816,NO
iat_std,avg_burst_packets,-0.2774,-0.9640,0.2774,YES
max_iat,avg_burst_packets,-0.2723,-0.6277,0.2723,NO
forward_bytes,dst_port,0.2637,0.1296,0.2637,NO
total_bytes,dst_port,0.2637,0.1296,0.2637,NO
fwd_bwd_byte_ratio,dst_port,0.2637,0.1296,0.2637,NO
forward_packet_count,max_iat,-0.2626,-0.5932,0.2626,NO
total_packet_count,max_iat,-0.2626,-0.5932,0.2626,NO
max_iat,fwd_bwd_packet_ratio,-0.2626,-0.5932,0.2626,NO
forward_bytes,iat_std,-0.2612,-0.9140,0.2612,YES
total_bytes,iat_std,-0.2612,-0.9140,0.2612,YES
