rank,feature_name,importance
1,flow_duration,0.047619
2,forward_packet_count,0.047619
3,backward_packet_count,0.047619
4,total_packet_count,0.047619
5,forward_bytes,0.047619
6,backward_bytes,0.047619
7,total_bytes,0.047619
8,avg_packet_size,0.047619
9,min_packet_size,0.047619
10,max_packet_size,0.047619
11,packet_size_variance,0.047619
12,mean_iat,0.047619
13,median_iat,0.047619
14,iat_std,0.047619
15,min_iat,0.047619
16,max_iat,0.047619
17,fwd_bwd_packet_ratio,0.047619
18,fwd_bwd_byte_ratio,0.047619
19,burst_count,0.047619
20,avg_burst_bytes,0.047619
21,avg_burst_packets,0.047619
