feature_name,dtype,missing_rate,zero_rate,unique_count,mean,std,min,median,max,near_zero_variance,feature_role
flow_duration,float,0.00%,0.00%,109,58.8239,4.3345,14.5613,59.4624,59.9687,NO,CONTINUOUS_STATISTICAL
forward_packet_count,float,0.00%,0.00%,105,2418.2110,5407.6217,9.0000,607.0000,45844.0000,NO,CONTINUOUS_STATISTICAL
backward_packet_count,float,0.00%,100.00%,1,0.0000,0.0000,0.0000,0.0000,0.0000,YES,CONTINUOUS_STATISTICAL
total_packet_count,float,0.00%,0.00%,105,2418.2110,5407.6217,9.0000,607.0000,45844.0000,NO,CONTINUOUS_STATISTICAL
forward_bytes,float,0.00%,0.00%,109,2313157.7339,7095670.8958,703.0000,172397.0000,60014892.0000,NO,CONTINUOUS_STATISTICAL
backward_bytes,float,0.00%,100.00%,1,0.0000,0.0000,0.0000,0.0000,0.0000,YES,CONTINUOUS_STATISTICAL
total_bytes,float,0.00%,0.00%,109,2313157.7339,7095670.8958,703.0000,172397.0000,60014892.0000,NO,CONTINUOUS_STATISTICAL
avg_packet_size,float,0.00%,0.00%,109,417.5488,348.0896,78.1111,260.5256,1309.1112,NO,CONTINUOUS_STATISTICAL
min_packet_size,float,0.00%,0.00%,5,87.5413,6.9369,54.0000,88.0000,108.0000,NO,CONTINUOUS_STATISTICAL
max_packet_size,float,0.00%,0.00%,17,1353.6789,130.2404,85.0000,1365.0000,1411.0000,NO,CONTINUOUS_STATISTICAL
packet_size_variance,float,0.00%,0.00%,109,136088.1573,84739.1770,166.0988,119002.1664,370855.3914,NO,CONTINUOUS_STATISTICAL
mean_iat,float,0.00%,0.00%,109,0.1056,0.1750,0.0013,0.0974,1.8202,NO,CONTINUOUS_STATISTICAL
median_iat,float,0.00%,22.02%,86,0.0216,0.0680,0.0000,0.0149,0.7071,NO,CONTINUOUS_STATISTICAL
iat_std,float,0.00%,0.00%,109,0.2415,0.2305,0.0206,0.2521,2.3863,NO,CONTINUOUS_STATISTICAL
min_iat,float,0.00%,50.46%,30,0.0000,0.0000,0.0000,0.0000,0.0001,YES,CONTINUOUS_STATISTICAL
max_iat,float,0.00%,0.00%,109,2.4068,0.7640,1.1966,2.3622,7.3555,NO,CONTINUOUS_STATISTICAL
fwd_bwd_packet_ratio,float,0.00%,0.00%,105,2418.2110,5407.6217,9.0000,607.0000,45844.0000,NO,CONTINUOUS_STATISTICAL
fwd_bwd_byte_ratio,float,0.00%,0.00%,109,2313157.7339,7095670.8958,703.0000,172397.0000,60014892.0000,NO,CONTINUOUS_STATISTICAL
burst_count,float,0.00%,0.00%,15,10.3486,3.5208,2.0000,10.0000,18.0000,NO,CONTINUOUS_STATISTICAL
avg_burst_bytes,float,0.00%,0.00%,109,403175.7687,1382450.7803,175.7500,15500.0000,12002978.4000,NO,CONTINUOUS_STATISTICAL
avg_burst_packets,float,0.00%,0.00%,109,405.7991,1107.7486,2.2500,57.8667,9168.8000,NO,CONTINUOUS_STATISTICAL
protocol,categorical,0.00%,0.00%,2,9.7064,70.0171,3.0000,3.0000,734.0000,NO,CATEGORICAL_OR_DISCRETE
dst_port,categorical,0.00%,0.00%,4,26814.7431,26265.9078,443.0000,50468.0000,60178.0000,NO,CATEGORICAL_OR_DISCRETE
tls_version,categorical,0.00%,0.00%,1,828.0000,0.0000,828.0000,828.0000,828.0000,YES,CATEGORICAL_OR_DISCRETE
tls_cipher_suites_count,categorical,0.00%,100.00%,1,0.0000,0.0000,0.0000,0.0000,0.0000,YES,CATEGORICAL_OR_DISCRETE
tls_extensions_count,categorical,0.00%,100.00%,1,0.0000,0.0000,0.0000,0.0000,0.0000,YES,CATEGORICAL_OR_DISCRETE
tls_sni_present,categorical,0.00%,100.00%,1,0.0000,0.0000,0.0000,0.0000,0.0000,YES,CATEGORICAL_OR_DISCRETE
