model,feature_count,macro_f1,latency_ms,model_size_kb,pareto_optimal
decision_tree,3,0.2045,0.0017,0.65,YES
decision_tree,5,0.1784,0.002,0.75,NO
lightgbm,15,0.1742,0.0031,1.25,NO
random_forest,10,0.1568,0.0025,1.0,NO
lightgbm,5,0.1536,0.0022,0.75,NO
random_forest,5,0.1506,0.0015,0.75,YES
random_forest,15,0.1437,0.0031,1.25,NO
lightgbm,10,0.1434,0.0025,1.0,NO
decision_tree,15,0.1381,0.0033,1.25,NO
lightgbm,7,0.126,0.0023,0.85,NO
decision_tree,21,0.1228,0.0046,1.85,NO
random_forest,21,0.1205,0.0047,1.85,NO
decision_tree,10,0.1202,0.0028,1.0,NO
decision_tree,7,0.1162,0.0026,0.85,NO
lightgbm,21,0.1108,0.0043,1.85,NO
lightgbm,3,0.1093,0.0015,0.65,YES
random_forest,3,0.1065,0.0014,0.65,YES
random_forest,7,0.0809,0.0021,0.85,NO
logistic_regression,15,0.0771,0.0155,1.25,NO
logistic_regression,10,0.0716,0.0115,1.0,NO
logistic_regression,21,0.0662,0.0225,1.85,NO
logistic_regression,7,0.0535,0.0101,0.85,NO
logistic_regression,3,0.0519,0.006,0.65,NO
logistic_regression,5,0.0517,0.0094,0.75,NO
