feature_name,mi_score_norm,rf_importance_norm,lgb_gain_norm,perm_importance_norm,anova_f_norm,consensus_score,consensus_rank
avg_packet_size,0.8167,1.0000,1.0000,0.8470,0.6334,0.8762,1
burst_count,1.0000,1.0000,1.0000,0.1749,1.0000,0.8762,2
max_iat,0.7569,1.0000,1.0000,0.6749,0.6713,0.8412,3
min_packet_size,0.6935,1.0000,1.0000,0.5917,0.5541,0.7953,4
forward_packet_count,0.3343,1.0000,1.0000,1.0000,0.4975,0.7582,5
fwd_bwd_byte_ratio,0.3343,1.0000,1.0000,0.8792,0.3729,0.7214,6
fwd_bwd_packet_ratio,0.3343,1.0000,1.0000,0.6852,0.4975,0.7110,7
total_bytes,0.3343,1.0000,1.0000,0.7188,0.3729,0.6973,8
total_packet_count,0.3343,1.0000,1.0000,0.1894,0.4975,0.6366,9
avg_burst_bytes,0.2665,1.0000,1.0000,0.4625,0.3128,0.6329,10
min_iat,0.6247,1.0000,1.0000,0.0000,0.1462,0.6281,11
mean_iat,0.0540,1.0000,1.0000,0.7557,0.2301,0.6114,12
forward_bytes,0.3343,1.0000,1.0000,0.1222,0.3729,0.6078,13
avg_burst_packets,0.2743,1.0000,1.0000,0.1445,0.4011,0.6004,14
iat_std,0.0540,1.0000,1.0000,0.1909,0.3900,0.5506,15
packet_size_variance,0.3308,1.0000,1.0000,0.0000,0.1027,0.5481,16
flow_duration,0.0540,1.0000,1.0000,0.4444,0.0742,0.5413,17
median_iat,0.0540,1.0000,1.0000,0.3856,0.1086,0.5376,18
max_packet_size,0.1094,1.0000,1.0000,0.3431,0.0528,0.5367,19
dst_port,0.0007,1.0000,1.0000,0.2468,0.0005,0.4873,20
backward_packet_count,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,21
backward_bytes,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,22
protocol,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,23
tls_version,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,24
tls_cipher_suites_count,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,25
tls_extensions_count,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,26
tls_sni_present,0.0000,1.0000,1.0000,0.0000,0.0000,0.4500,27
