model,feature_count,features,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,cv_accuracy_std,latency,model_size
logistic_regression,all,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat;median_iat;flow_duration;max_packet_size;mean_iat;dst_port;backward_packet_count;backward_bytes;protocol;tls_version;tls_cipher_suites_count;tls_extensions_count;tls_sni_present,0.0662,0.0543,0.1567,0.1245,0.0225 ms,1.85 KB
decision_tree,all,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat;median_iat;flow_duration;max_packet_size;mean_iat;dst_port;backward_packet_count;backward_bytes;protocol;tls_version;tls_cipher_suites_count;tls_extensions_count;tls_sni_present,0.1228,0.0572,0.1554,0.0679,0.0046 ms,1.85 KB
random_forest,all,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat;median_iat;flow_duration;max_packet_size;mean_iat;dst_port;backward_packet_count;backward_bytes;protocol;tls_version;tls_cipher_suites_count;tls_extensions_count;tls_sni_present,0.1205,0.0388,0.1286,0.0385,0.0047 ms,1.85 KB
lightgbm,all,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat;median_iat;flow_duration;max_packet_size;mean_iat;dst_port;backward_packet_count;backward_bytes;protocol;tls_version;tls_cipher_suites_count;tls_extensions_count;tls_sni_present,0.1108,0.0688,0.1295,0.0715,0.0043 ms,1.85 KB
logistic_regression,15,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat,0.0771,0.0574,0.1840,0.1335,0.0155 ms,1.25 KB
decision_tree,15,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat,0.1381,0.0203,0.1836,0.0324,0.0033 ms,1.25 KB
random_forest,15,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat,0.1437,0.0124,0.1649,0.0232,0.0031 ms,1.25 KB
lightgbm,15,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes;total_bytes;iat_std;min_packet_size;packet_size_variance;min_iat,0.1742,0.0628,0.1927,0.0873,0.0031 ms,1.25 KB
logistic_regression,10,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes,0.0716,0.0491,0.1745,0.1304,0.0115 ms,1.00 KB
decision_tree,10,forward_packet_count;max_iat;avg_packet_size;fwd_bwd_byte_ratio;burst_count;total_packet_count;fwd_bwd_packet_ratio;avg_burst_packets;avg_burst_bytes;forward_bytes,0.1202,0.0582,0.1377,0.0558,0.0028 ms,1.00 KB
