flow_id,session_id,traffic_class,protocol,duration,packet_count,byte_count,feature_valid,label_valid
20260823_144333_web_001_5c95_flow_00000,20260823_144333_web_001_5c95,Web,UDP,59.6625,2321,542651,TRUE,TRUE
20260823_144333_web_001_5c95_flow_00001,20260823_144333_web_001_5c95,Web,UDP,59.6095,3726,4125302,TRUE,TRUE
20260823_144333_web_001_5c95_flow_00002,20260823_144333_web_001_5c95,Web,UDP,0.8511,24,1920,TRUE,TRUE
20260823_144333_web_001_5c95_flow_00003,20260823_144333_web_001_5c95,Web,UDP,1.5073,3,276,TRUE,TRUE
20260823_144333_web_001_5c95_flow_00004,20260823_144333_web_001_5c95,Web,UDP,0.4224,4,296,TRUE,TRUE
20260823_144333_web_001_5c95_flow_00005,20260823_144333_web_001_5c95,Web,UDP,0.4218,4,296,TRUE,TRUE
20260823_145151_web_001_0bbf_flow_00000,20260823_145151_web_001_0bbf,Web,UDP,59.9385,528,144588,TRUE,TRUE
20260823_145151_web_001_0bbf_flow_00001,20260823_145151_web_001_0bbf,Web,UDP,59.9267,484,108317,TRUE,TRUE
20260823_145551_web_001_da0c_flow_00000,20260823_145551_web_001_da0c,Web,UDP,59.4624,623,159234,TRUE,TRUE
20260823_145551_web_001_da0c_flow_00001,20260823_145551_web_001_da0c,Web,UDP,59.4001,744,406887,TRUE,TRUE
20260823_145946_web_001_c866_flow_00000,20260823_145946_web_001_c866,Web,UDP,59.4013,1595,515279,TRUE,TRUE
20260823_145946_web_001_c866_flow_00001,20260823_145946_web_001_c866,Web,UDP,59.4132,1735,607804,TRUE,TRUE
20260823_145946_web_001_c866_flow_00002,20260823_145946_web_001_c866,Web,UDP,3.0098,6,552,TRUE,TRUE
20260823_150110_web_001_9490_flow_00000,20260823_150110_web_001_9490,Web,UDP,59.4294,2293,1916559,TRUE,TRUE
20260823_150110_web_001_9490_flow_00001,20260823_150110_web_001_9490,Web,UDP,59.3739,1262,317097,TRUE,TRUE
20260823_150323_web_001_2c60_flow_00000,20260823_150323_web_001_2c60,Web,UDP,58.3372,430,81233,TRUE,TRUE
