signature,occurrence_count,class_count,session_count,classes,example_sessions,artifact_candidate
4pkts_848B_UDP_port1900,26,6,26,File Transfer;Messaging;Other;Video;VoIP;Web,20260823_150454_web_001_17f5;20260823_150634_web_001_ddf0;20260823_150817_web_001_e5b6,YES
4pkts_296B_UDP_port5355,17,4,6,Messaging;Other;VoIP;Web,20260823_144333_web_001_5c95;20260823_150323_web_001_2c60;20260823_155349_messaging_001_f90a,YES
3pkts_276B_UDP_port137,5,4,5,Messaging;Other;VoIP;Web,20260823_144333_web_001_5c95;20260823_150323_web_001_2c60;20260823_155349_messaging_001_f90a,YES
24pkts_1920B_UDP_port5353,4,3,4,Messaging;VoIP;Web,20260823_144333_web_001_5c95;20260823_150323_web_001_2c60;20260823_155349_messaging_001_f90a,YES
3pkts_636B_UDP_port1900,2,1,2,Video,20260823_154438_video_001_566f;20260823_154613_video_001_c9ea,YES
8pkts_672B_OTHER_port0,2,1,2,Other,20260823_170006_other_001_2088;20260823_170113_other_001_b130,YES
2321pkts_542651B_UDP_port52783,1,1,1,Web,20260823_144333_web_001_5c95,NO
3726pkts_4125302B_UDP_port443,1,1,1,Web,20260823_144333_web_001_5c95,NO
528pkts_144588B_UDP_port52783,1,1,1,Web,20260823_145151_web_001_0bbf,NO
484pkts_108317B_UDP_port443,1,1,1,Web,20260823_145151_web_001_0bbf,NO
623pkts_159234B_UDP_port52783,1,1,1,Web,20260823_145551_web_001_da0c,NO
744pkts_406887B_UDP_port443,1,1,1,Web,20260823_145551_web_001_da0c,NO
1595pkts_515279B_UDP_port443,1,1,1,Web,20260823_145946_web_001_c866,NO
1735pkts_607804B_UDP_port52783,1,1,1,Web,20260823_145946_web_001_c866,NO
6pkts_552B_UDP_port5353,1,1,1,Web,20260823_145946_web_001_c866,YES
2293pkts_1916559B_UDP_port52783,1,1,1,Web,20260823_150110_web_001_9490,NO
1262pkts_317097B_UDP_port443,1,1,1,Web,20260823_150110_web_001_9490,NO
430pkts_81233B_UDP_port443,1,1,1,Web,20260823_150323_web_001_2c60,NO
479pkts_147046B_UDP_port52783,1,1,1,Web,20260823_150323_web_001_2c60,NO
626pkts_139399B_UDP_port52783,1,1,1,Web,20260823_150454_web_001_17f5,NO
607pkts_130749B_UDP_port443,1,1,1,Web,20260823_150454_web_001_17f5,NO
421pkts_105056B_UDP_port52783,1,1,1,Web,20260823_150634_web_001_ddf0,NO
401pkts_95777B_UDP_port443,1,1,1,Web,20260823_150634_web_001_ddf0,NO
567pkts_183645B_UDP_port52783,1,1,1,Web,20260823_150817_web_001_e5b6,NO
494pkts_94358B_UDP_port443,1,1,1,Web,20260823_150817_web_001_e5b6,NO
880pkts_182982B_UDP_port443,1,1,1,Web,20260823_150936_web_001_534c,NO
1029pkts_372968B_UDP_port52783,1,1,1,Web,20260823_150936_web_001_534c,NO
15441pkts_19474535B_UDP_port52783,1,1,1,Video,20260823_151441_video_001_104d,NO
2510pkts_526030B_UDP_port443,1,1,1,Video,20260823_151441_video_001_104d,NO
3919pkts_4439371B_UDP_port52783,1,1,1,Video,20260823_151621_video_001_efa4,NO
1125pkts_269003B_UDP_port443,1,1,1,Video,20260823_151621_video_001_efa4,NO
7741pkts_6073487B_UDP_port52783,1,1,1,Video,20260823_153012_video_001_641b,NO
7258pkts_7804288B_UDP_port443,1,1,1,Video,20260823_153012_video_001_641b,NO
979pkts_799234B_UDP_port52783,1,1,1,Video,20260823_153142_video_001_2480,NO
510pkts_107753B_UDP_port443,1,1,1,Video,20260823_153142_video_001_2480,NO
13318pkts_16925302B_UDP_port52783,1,1,1,Video,20260823_154438_video_001_566f,NO
2307pkts_552528B_UDP_port443,1,1,1,Video,20260823_154438_video_001_566f,NO
10530pkts_13298703B_UDP_port52783,1,1,1,Video,20260823_154613_video_001_c9ea,NO
1864pkts_403315B_UDP_port443,1,1,1,Video,20260823_154613_video_001_c9ea,NO
16835pkts_21867711B_UDP_port52783,1,1,1,Video,20260823_154721_video_001_0564,NO
2339pkts_437684B_UDP_port443,1,1,1,Video,20260823_154721_video_001_0564,NO
849pkts_172397B_UDP_port443,1,1,1,Video,20260823_154851_video_001_b4dc,NO
2341pkts_2455253B_UDP_port52783,1,1,1,Video,20260823_154851_video_001_b4dc,NO
10403pkts_12627013B_UDP_port52783,1,1,1,Video,20260823_155010_video_001_c5d9,NO
2237pkts_534264B_UDP_port443,1,1,1,Video,20260823_155010_video_001_c5d9,NO
446pkts_109092B_UDP_port443,1,1,1,Video,20260823_155216_video_001_1ce3,NO
490pkts_146070B_UDP_port52783,1,1,1,Video,20260823_155216_video_001_1ce3,NO
5994pkts_7166648B_UDP_port52783,1,1,1,Messaging,20260823_155349_messaging_001_f90a,NO
1313pkts_275552B_UDP_port443,1,1,1,Messaging,20260823_155349_messaging_001_f90a,NO
6411pkts_1392046B_UDP_port443,1,1,1,Messaging,20260823_155823_messaging_001_2056,NO
45844pkts_60014892B_UDP_port52783,1,1,1,Messaging,20260823_155823_messaging_001_2056,NO
1950pkts_418274B_UDP_port443,1,1,1,Messaging,20260823_160152_messaging_001_2144,NO
12738pkts_16332607B_UDP_port52783,1,1,1,Messaging,20260823_160152_messaging_001_2144,NO
2182pkts_483350B_UDP_port443,1,1,1,Messaging,20260823_160304_messaging_001_b4de,NO
13172pkts_16727776B_UDP_port52783,1,1,1,Messaging,20260823_160304_messaging_001_b4de,NO
7460pkts_8587318B_UDP_port52783,1,1,1,Messaging,20260823_160438_messaging_001_3d1b,NO
1971pkts_445698B_UDP_port443,1,1,1,Messaging,20260823_160438_messaging_001_3d1b,NO
8501pkts_10601758B_UDP_port52783,1,1,1,Messaging,20260823_160546_messaging_001_240e,NO
1544pkts_282286B_UDP_port443,1,1,1,Messaging,20260823_160546_messaging_001_240e,NO
519pkts_89623B_UDP_port443,1,1,1,Messaging,20260823_160655_messaging_001_72b1,NO
862pkts_607675B_UDP_port52783,1,1,1,Messaging,20260823_160655_messaging_001_72b1,NO
381pkts_69442B_UDP_port443,1,1,1,Messaging,20260823_160828_messaging_001_7f33,NO
408pkts_109316B_UDP_port52783,1,1,1,Messaging,20260823_160828_messaging_001_7f33,NO
451pkts_114028B_UDP_port52783,1,1,1,Messaging,20260823_160947_messaging_001_869a,NO
419pkts_73897B_UDP_port443,1,1,1,Messaging,20260823_160947_messaging_001_869a,NO
550pkts_160416B_UDP_port52783,1,1,1,Messaging,20260823_161053_messaging_001_e319,NO
589pkts_245647B_UDP_port443,1,1,1,Messaging,20260823_161053_messaging_001_e319,NO
605pkts_239139B_UDP_port52783,1,1,1,VoIP,20260823_161401_voip_001_b89f,NO
532pkts_130152B_UDP_port443,1,1,1,VoIP,20260823_161401_voip_001_b89f,NO
511pkts_113626B_UDP_port443,1,1,1,VoIP,20260823_161509_voip_001_9812,NO
535pkts_138607B_UDP_port52783,1,1,1,VoIP,20260823_161509_voip_001_9812,NO
447pkts_143931B_UDP_port52783,1,1,1,VoIP,20260823_161649_voip_001_c01e,NO
431pkts_92689B_UDP_port443,1,1,1,VoIP,20260823_161649_voip_001_c01e,NO
320pkts_77878B_UDP_port52783,1,1,1,VoIP,20260823_161758_voip_001_0549,NO
310pkts_51245B_UDP_port443,1,1,1,VoIP,20260823_161758_voip_001_0549,NO
645pkts_292629B_UDP_port52783,1,1,1,VoIP,20260823_161916_voip_001_7fd9,NO
521pkts_99710B_UDP_port443,1,1,1,VoIP,20260823_161916_voip_001_7fd9,NO
371pkts_96655B_UDP_port443,1,1,1,VoIP,20260823_162123_voip_001_51e2,NO
362pkts_95029B_UDP_port52783,1,1,1,VoIP,20260823_162123_voip_001_51e2,NO
608pkts_268765B_UDP_port52783,1,1,1,VoIP,20260823_162302_voip_001_6194,NO
486pkts_110968B_UDP_port443,1,1,1,VoIP,20260823_162302_voip_001_6194,NO
670pkts_132709B_UDP_port443,1,1,1,VoIP,20260823_162426_voip_001_9219,NO
776pkts_262807B_UDP_port52783,1,1,1,VoIP,20260823_162426_voip_001_9219,NO
444pkts_63949B_UDP_port443,1,1,1,VoIP,20260823_162544_voip_001_9fd7,NO
489pkts_145166B_UDP_port52783,1,1,1,VoIP,20260823_162544_voip_001_9fd7,NO
357pkts_93865B_UDP_port52783,1,1,1,VoIP,20260823_162704_voip_001_571e,NO
332pkts_55389B_UDP_port443,1,1,1,VoIP,20260823_162704_voip_001_571e,NO
506pkts_120165B_UDP_port443,1,1,1,File Transfer,20260823_162946_file_transfer_001_5b75,NO
526pkts_137675B_UDP_port52783,1,1,1,File Transfer,20260823_162946_file_transfer_001_5b75,NO
367pkts_88701B_UDP_port52783,1,1,1,File Transfer,20260823_163126_file_transfer_001_bea6,NO
342pkts_56238B_UDP_port443,1,1,1,File Transfer,20260823_163126_file_transfer_001_bea6,NO
366pkts_79423B_UDP_port443,1,1,1,File Transfer,20260823_163237_file_transfer_001_390f,NO
389pkts_103347B_UDP_port52783,1,1,1,File Transfer,20260823_163237_file_transfer_001_390f,NO
526pkts_155000B_UDP_port52783,1,1,1,File Transfer,20260823_163447_file_transfer_001_d03c,NO
478pkts_100251B_UDP_port443,1,1,1,File Transfer,20260823_163447_file_transfer_001_d03c,NO
345pkts_87236B_UDP_port52783,1,1,1,File Transfer,20260823_163557_file_transfer_001_aa30,NO
312pkts_48216B_UDP_port443,1,1,1,File Transfer,20260823_163557_file_transfer_001_aa30,NO
388pkts_102110B_UDP_port52783,1,1,1,File Transfer,20260823_163704_file_transfer_001_2090,NO
362pkts_79691B_UDP_port443,1,1,1,File Transfer,20260823_163704_file_transfer_001_2090,NO
603pkts_136589B_UDP_port443,1,1,1,File Transfer,20260823_163829_file_transfer_001_a40b,NO
642pkts_182188B_UDP_port52783,1,1,1,File Transfer,20260823_163829_file_transfer_001_a40b,NO
919pkts_356598B_UDP_port52783,1,1,1,File Transfer,20260823_163936_file_transfer_001_3420,NO
795pkts_170061B_UDP_port443,1,1,1,File Transfer,20260823_163936_file_transfer_001_3420,NO
416pkts_100066B_UDP_port52783,1,1,1,File Transfer,20260823_164056_file_transfer_001_1a06,NO
392pkts_61021B_UDP_port443,1,1,1,File Transfer,20260823_164056_file_transfer_001_1a06,NO
344pkts_88924B_UDP_port52783,1,1,1,File Transfer,20260823_164203_file_transfer_001_0aa3,NO
319pkts_48725B_UDP_port443,1,1,1,File Transfer,20260823_164203_file_transfer_001_0aa3,NO
362pkts_75569B_UDP_port443,1,1,1,Other,20260823_164647_other_001_d4e4,NO
377pkts_102248B_UDP_port52783,1,1,1,Other,20260823_164647_other_001_d4e4,NO
306pkts_58053B_UDP_port443,1,1,1,Other,20260823_164826_other_001_eac8,NO
328pkts_88796B_UDP_port52783,1,1,1,Other,20260823_164826_other_001_eac8,NO
644pkts_224198B_UDP_port52783,1,1,1,Other,20260823_164938_other_001_7ffe,NO
587pkts_163521B_UDP_port443,1,1,1,Other,20260823_164938_other_001_7ffe,NO
607pkts_328139B_UDP_port52783,1,1,1,Other,20260823_165157_other_001_2876,NO
467pkts_128588B_UDP_port443,1,1,1,Other,20260823_165157_other_001_2876,NO
764pkts_327210B_UDP_port50468,1,1,1,Other,20260823_165837_other_001_2277,NO
666pkts_207904B_UDP_port443,1,1,1,Other,20260823_165837_other_001_2277,NO
6pkts_500B_OTHER_port0,1,1,1,Other,20260823_165837_other_001_2277,YES
10pkts_1862B_UDP_port5353,1,1,1,Other,20260823_165837_other_001_2277,YES
621pkts_260551B_UDP_port443,1,1,1,Other,20260823_170006_other_001_2088,NO
657pkts_245867B_UDP_port50468,1,1,1,Other,20260823_170006_other_001_2088,NO
12pkts_3470B_UDP_port5353,1,1,1,Other,20260823_170006_other_001_2088,YES
1492pkts_799430B_UDP_port50468,1,1,1,Other,20260823_170113_other_001_b130,NO
1264pkts_560507B_UDP_port443,1,1,1,Other,20260823_170113_other_001_b130,NO
84pkts_6720B_UDP_port5353,1,1,1,Other,20260823_170113_other_001_b130,YES
9pkts_828B_UDP_port137,1,1,1,Other,20260823_170113_other_001_b130,YES
600pkts_142128B_UDP_port50468,1,1,1,Other,20260823_170246_other_001_fe56,NO
597pkts_142632B_UDP_port443,1,1,1,Other,20260823_170246_other_001_fe56,NO
36pkts_5962B_UDP_port5353,1,1,1,Other,20260823_170246_other_001_fe56,YES
9pkts_703B_TCP_port60178,1,1,1,Other,20260823_170246_other_001_fe56,NO
10pkts_768B_OTHER_port0,1,1,1,Other,20260823_170246_other_001_fe56,YES
4pkts_320B_UDP_port5355,1,1,1,Other,20260823_170246_other_001_fe56,YES
568pkts_296681B_UDP_port50468,1,1,1,Other,20260823_170352_other_001_facf,NO
448pkts_109356B_UDP_port443,1,1,1,Other,20260823_170352_other_001_facf,NO
4pkts_336B_OTHER_port0,1,1,1,Other,20260823_170352_other_001_facf,YES
12pkts_4042B_UDP_port5353,1,1,1,Other,20260823_170352_other_001_facf,YES
1695pkts_1562079B_UDP_port50468,1,1,1,Other,20260823_170458_other_001_aa7d,NO
868pkts_285288B_UDP_port443,1,1,1,Other,20260823_170458_other_001_aa7d,NO
7pkts_634B_OTHER_port0,1,1,1,Other,20260823_170458_other_001_aa7d,YES
