model,feature_profile,feature_count,stage,execution_phase,repetitions,mean_ms,std_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,throughput_fps
N/A (Extractor),profile_5_features,5,feature_extraction,cold,1,1.3868,0.0,1.3868,1.3868,1.3868,1.3868,1.3868,721.1
N/A (Extractor),profile_5_features,5,feature_extraction,warm,200,1.4588,2.965,0.3681,7.0281,9.4446,0.0124,23.6159,685.5
N/A (Extractor),profile_10_features,10,feature_extraction,cold,1,1.3868,0.0,1.3868,1.3868,1.3868,1.3868,1.3868,721.1
N/A (Extractor),profile_10_features,10,feature_extraction,warm,200,1.4588,2.965,0.3681,7.0281,9.4446,0.0124,23.6159,685.5
N/A (Extractor),profile_21_features,21,feature_extraction,cold,1,1.3868,0.0,1.3868,1.3868,1.3868,1.3868,1.3868,721.1
N/A (Extractor),profile_21_features,21,feature_extraction,warm,200,1.4588,2.965,0.3681,7.0281,9.4446,0.0124,23.6159,685.5
N/A (Preprocessor),profile_5_features,5,preprocessing,cold,1,0.031,0.0,0.031,0.031,0.031,0.031,0.031,32258.1
N/A (Preprocessor),profile_5_features,5,preprocessing,warm,500,0.002,0.0003,0.002,0.0023,0.0026,0.0018,0.0063,500000.0
logistic_regression,profile_5_features,5,inference,cold,1,0.3499,0.0,0.3499,0.3499,0.3499,0.3499,0.3499,2858.0
logistic_regression,profile_5_features,5,inference,warm,500,0.0703,0.0143,0.0684,0.0798,0.146,0.0622,0.1999,14224.8
logistic_regression,profile_5_features,5,end_to_end,cold,1,1.7697,0.0,1.7697,1.7697,1.7697,1.7697,1.7697,565.1
logistic_regression,profile_5_features,5,end_to_end,warm,500,1.5409,2.9825,0.4361,7.641,9.5351,0.0787,23.692,649.0
decision_tree,profile_5_features,5,inference,cold,1,0.2909,0.0,0.2909,0.2909,0.2909,0.2909,0.2909,3437.6
decision_tree,profile_5_features,5,inference,warm,500,0.0611,0.0132,0.0578,0.0924,0.1138,0.0516,0.1855,16366.6
decision_tree,profile_5_features,5,end_to_end,cold,1,1.7107,0.0,1.7107,1.7107,1.7107,1.7107,1.7107,584.6
decision_tree,profile_5_features,5,end_to_end,warm,500,1.5317,2.9818,0.4272,7.6331,9.5119,0.0694,23.7232,652.9
random_forest,profile_5_features,5,inference,cold,1,3.9997,0.0,3.9997,3.9997,3.9997,3.9997,3.9997,250.0
random_forest,profile_5_features,5,inference,warm,500,4.0739,0.6787,3.9199,5.076,6.117,3.3586,12.8017,245.5
random_forest,profile_5_features,5,end_to_end,cold,1,5.4195,0.0,5.4195,5.4195,5.4195,5.4195,5.4195,184.5
random_forest,profile_5_features,5,end_to_end,warm,500,5.5445,3.0691,4.5331,11.5147,14.3226,3.5915,27.9067,180.4
lightgbm,profile_5_features,5,inference,cold,1,0.8742,0.0,0.8742,0.8742,0.8742,0.8742,0.8742,1143.9
lightgbm,profile_5_features,5,inference,warm,500,0.3713,0.101,0.3427,0.5632,0.7886,0.29,1.2585,2693.2
lightgbm,profile_5_features,5,end_to_end,cold,1,2.294,0.0,2.294,2.294,2.294,2.294,2.294,435.9
lightgbm,profile_5_features,5,end_to_end,warm,500,1.8419,2.9773,0.7629,7.9155,9.8034,0.3985,23.9634,542.9
N/A (Preprocessor),profile_10_features,10,preprocessing,cold,1,0.0338,0.0,0.0338,0.0338,0.0338,0.0338,0.0338,29585.8
N/A (Preprocessor),profile_10_features,10,preprocessing,warm,500,0.0036,0.0028,0.0034,0.0038,0.007,0.0031,0.0615,277777.8
logistic_regression,profile_10_features,10,inference,cold,1,0.2791,0.0,0.2791,0.2791,0.2791,0.2791,0.2791,3582.9
logistic_regression,profile_10_features,10,inference,warm,500,0.0714,0.024,0.0674,0.0926,0.1614,0.0618,0.3652,14005.6
logistic_regression,profile_10_features,10,end_to_end,cold,1,1.7017,0.0,1.7017,1.7017,1.7017,1.7017,1.7017,587.6
logistic_regression,profile_10_features,10,end_to_end,warm,500,1.5436,2.9817,0.4437,7.6415,9.5269,0.0851,23.6888,647.8
decision_tree,profile_10_features,10,inference,cold,1,0.2637,0.0,0.2637,0.2637,0.2637,0.2637,0.2637,3792.2
decision_tree,profile_10_features,10,inference,warm,500,0.066,0.0234,0.0594,0.0926,0.1889,0.056,0.2438,15151.5
decision_tree,profile_10_features,10,end_to_end,cold,1,1.6863,0.0,1.6863,1.6863,1.6863,1.6863,1.6863,593.0
decision_tree,profile_10_features,10,end_to_end,warm,500,1.5382,2.98,0.438,7.6347,9.5201,0.0776,23.6837,650.1
random_forest,profile_10_features,10,inference,cold,1,4.0834,0.0,4.0834,4.0834,4.0834,4.0834,4.0834,244.9
random_forest,profile_10_features,10,inference,warm,500,4.0919,0.705,3.9099,5.0758,6.2112,3.3824,13.0453,244.4
random_forest,profile_10_features,10,end_to_end,cold,1,5.506,0.0,5.506,5.506,5.506,5.506,5.506,181.6
random_forest,profile_10_features,10,end_to_end,warm,500,5.5641,3.0334,4.5803,11.2026,13.8557,3.4955,29.0757,179.7
lightgbm,profile_10_features,10,inference,cold,1,0.6624,0.0,0.6624,0.6624,0.6624,0.6624,0.6624,1509.7
lightgbm,profile_10_features,10,inference,warm,500,0.3368,0.0708,0.316,0.4653,0.6544,0.2791,0.8922,2969.1
lightgbm,profile_10_features,10,end_to_end,cold,1,2.085,0.0,2.085,2.085,2.085,2.085,2.085,479.6
lightgbm,profile_10_features,10,end_to_end,warm,500,1.809,2.9816,0.7159,7.8809,9.9554,0.3085,23.9236,552.8
N/A (Preprocessor),profile_21_features,21,preprocessing,cold,1,0.0344,0.0,0.0344,0.0344,0.0344,0.0344,0.0344,29069.8
N/A (Preprocessor),profile_21_features,21,preprocessing,warm,500,0.0065,0.0046,0.006,0.0071,0.0127,0.0058,0.0995,153846.2
logistic_regression,profile_21_features,21,inference,cold,1,0.2785,0.0,0.2785,0.2785,0.2785,0.2785,0.2785,3590.7
logistic_regression,profile_21_features,21,inference,warm,500,0.0677,0.0162,0.0641,0.078,0.1383,0.0614,0.2906,14771.0
logistic_regression,profile_21_features,21,end_to_end,cold,1,1.7017,0.0,1.7017,1.7017,1.7017,1.7017,1.7017,587.6
logistic_regression,profile_21_features,21,end_to_end,warm,500,1.5428,2.9811,0.4435,7.6434,9.5175,0.0828,23.6879,648.2
decision_tree,profile_21_features,21,inference,cold,1,0.261,0.0,0.261,0.261,0.261,0.261,0.261,3831.4
decision_tree,profile_21_features,21,inference,warm,500,0.0593,0.0247,0.0541,0.0713,0.1875,0.0513,0.3611,16863.4
decision_tree,profile_21_features,21,end_to_end,cold,1,1.6842,0.0,1.6842,1.6842,1.6842,1.6842,1.6842,593.8
decision_tree,profile_21_features,21,end_to_end,warm,500,1.5344,2.983,0.4353,7.6338,9.5222,0.0726,23.6816,651.7
random_forest,profile_21_features,21,inference,cold,1,3.9793,0.0,3.9793,3.9793,3.9793,3.9793,3.9793,251.3
random_forest,profile_21_features,21,inference,warm,500,3.9023,0.5113,3.7607,4.8355,5.9505,3.3591,6.8586,256.3
random_forest,profile_21_features,21,end_to_end,cold,1,5.4025,0.0,5.4025,5.4025,5.4025,5.4025,5.4025,185.1
random_forest,profile_21_features,21,end_to_end,warm,500,5.3774,3.0137,4.4008,11.2732,13.4706,3.461,27.5641,186.0
lightgbm,profile_21_features,21,inference,cold,1,0.8146,0.0,0.8146,0.8146,0.8146,0.8146,0.8146,1227.6
lightgbm,profile_21_features,21,inference,warm,500,0.3353,0.0589,0.3186,0.4355,0.6143,0.2872,0.8568,2982.4
lightgbm,profile_21_features,21,end_to_end,cold,1,2.2378,0.0,2.2378,2.2378,2.2378,2.2378,2.2378,446.9
lightgbm,profile_21_features,21,end_to_end,warm,500,1.8104,2.9839,0.721,7.8753,9.8126,0.3506,24.0844,552.4
