model,feature_profile,feature_count,in_memory_bytes,serialized_disk_kb,parameter_count,training_time_sec,test_accuracy,test_macro_f1
logistic_regression,profile_5_features,5,90829,0.79,36,0.0192,0.1429,0.1911
decision_tree,profile_5_features,5,31623,3.37,107,0.0044,0.3878,0.3556
random_forest,profile_5_features,5,142054,201.21,9788,0.5458,0.2857,0.2485
lightgbm,profile_5_features,5,2465911,223.9,18600,0.0575,0.3878,0.3309
logistic_regression,profile_10_features,10,97332,1.0,66,0.0202,0.3673,0.3131
decision_tree,profile_10_features,10,35821,3.11,95,0.0037,0.6531,0.5827
random_forest,profile_10_features,10,145099,175.41,8364,0.4892,0.4694,0.3986
lightgbm,profile_10_features,10,2470153,225.64,18600,0.0573,0.6735,0.5485
logistic_regression,profile_21_features,21,118124,1.47,132,0.0269,0.5102,0.4366
decision_tree,profile_21_features,21,45025,2.58,73,0.004,0.6735,0.6633
random_forest,profile_21_features,21,155870,163.38,7620,0.4866,0.6327,0.5829
lightgbm,profile_21_features,21,2483103,233.64,18600,0.0781,0.6735,0.6423
