feature_name,family,missing_rate,zero_rate,unique_count,near_zero_variance,mean,std,min,median,max
network_condition_id,STATISTICAL,0.00%,0.00%,4,NO,375.5017,129.2668,133.0000,454.0000,462.0000
pkt_size_mean,PACKET_SIZE,0.00%,0.00%,301,NO,376.9725,309.5166,66.1387,250.9904,1178.2087
pkt_size_std,PACKET_SIZE,0.00%,0.00%,301,NO,121.5077,85.9089,20.2046,87.1008,321.7654
pkt_size_min,PACKET_SIZE,0.00%,0.00%,4,NO,40.1495,1.7476,40.0000,40.0000,65.0000
pkt_size_max,PACKET_SIZE,0.00%,0.00%,209,NO,670.5116,389.3520,137.0000,527.0000,1420.0000
pkt_size_median,PACKET_SIZE,0.00%,0.00%,237,NO,387.1910,335.8066,64.0000,250.0000,1313.0000
pkt_size_p10,PACKET_SIZE,0.00%,0.00%,242,NO,214.0551,184.9295,40.0000,136.9000,722.0000
pkt_size_p25,PACKET_SIZE,0.00%,0.00%,235,NO,295.7674,256.7984,48.5000,189.5000,1005.0000
pkt_size_p75,PACKET_SIZE,0.00%,0.00%,237,NO,467.3056,386.9933,80.0000,308.2500,1420.0000
pkt_size_p90,PACKET_SIZE,0.00%,0.00%,235,NO,521.4684,390.6766,93.0000,362.9000,1420.0000
pkt_size_p95,PACKET_SIZE,0.00%,0.00%,250,NO,551.9945,391.5648,103.1000,394.7000,1420.0000
fwd_pkt_size_mean,PACKET_SIZE,0.00%,0.00%,301,NO,376.9725,309.5166,66.1387,250.9904,1178.2087
fwd_pkt_size_std,PACKET_SIZE,0.00%,0.00%,301,NO,121.5077,85.9089,20.2046,87.1008,321.7654
fwd_pkt_size_min,PACKET_SIZE,0.00%,0.00%,4,NO,40.1495,1.7476,40.0000,40.0000,65.0000
fwd_pkt_size_max,PACKET_SIZE,0.00%,0.00%,209,NO,670.5116,389.3520,137.0000,527.0000,1420.0000
fwd_pkt_size_median,PACKET_SIZE,0.00%,0.00%,237,NO,387.1910,335.8066,64.0000,250.0000,1313.0000
fwd_pkt_size_p10,PACKET_SIZE,0.00%,0.00%,242,NO,214.0551,184.9295,40.0000,136.9000,722.0000
fwd_pkt_size_p25,PACKET_SIZE,0.00%,0.00%,235,NO,295.7674,256.7984,48.5000,189.5000,1005.0000
fwd_pkt_size_p75,PACKET_SIZE,0.00%,0.00%,237,NO,467.3056,386.9933,80.0000,308.2500,1420.0000
fwd_pkt_size_p90,PACKET_SIZE,0.00%,0.00%,235,NO,521.4684,390.6766,93.0000,362.9000,1420.0000
fwd_pkt_size_p95,PACKET_SIZE,0.00%,0.00%,250,NO,551.9945,391.5648,103.1000,394.7000,1420.0000
bwd_pkt_size_mean,PACKET_SIZE,0.00%,100.00%,1,YES,0.0000,0.0000,0.0000,0.0000,0.0000
bwd_pkt_size_std,PACKET_SIZE,0.00%,100.00%,1,YES,0.0000,0.0000,0.0000,0.0000,0.0000
bwd_pkt_size_min,PACKET_SIZE,0.00%,100.00%,1,YES,0.0000,0.0000,0.0000,0.0000,0.0000
bwd_pkt_size_max,PACKET_SIZE,0.00%,100.00%,1,YES,0.0000,0.0000,0.0000,0.0000,0.0000
