feature_name,family,dtype,real_time_compatible,computational_cost,description
network_condition_id,STATISTICAL,float,YES,O(N) single-pass,Zero-payload statistical statistic: network_condition_id
pkt_size_mean,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_mean
pkt_size_std,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_std
pkt_size_min,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_min
pkt_size_max,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_max
pkt_size_median,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_median
pkt_size_p10,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_p10
pkt_size_p25,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_p25
pkt_size_p75,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_p75
pkt_size_p90,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_p90
pkt_size_p95,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: pkt_size_p95
fwd_pkt_size_mean,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_mean
fwd_pkt_size_std,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_std
fwd_pkt_size_min,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_min
fwd_pkt_size_max,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_max
fwd_pkt_size_median,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_median
fwd_pkt_size_p10,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_p10
fwd_pkt_size_p25,PACKET_SIZE,float,YES,O(N) single-pass,Zero-payload packet_size statistic: fwd_pkt_size_p25
