target_coverage,flows_accepted,confidence_cutoff,precision,empirical_risk,macro_f1_proxy
0.05,14,0.463,0.3571,0.6429,0.3393
0.1,28,0.3536,0.3571,0.6429,0.3393
0.15,43,0.3333,0.2558,0.7442,0.243
0.2,57,0.3333,0.2456,0.7544,0.2333
0.25,72,0.3333,0.1944,0.8056,0.1847
0.3,86,0.3333,0.1628,0.8372,0.1547
0.35,101,0.3333,0.1386,0.8614,0.1317
0.4,115,0.3333,0.1217,0.8783,0.1157
0.45,130,0.3333,0.1615,0.8385,0.1535
0.5,144,0.3333,0.1667,0.8333,0.1583
0.55,158,0.3333,0.1519,0.8481,0.1443
0.6,173,0.3333,0.1387,0.8613,0.1318
0.65,187,0.3333,0.1283,0.8717,0.1219
0.7,202,0.3333,0.1188,0.8812,0.1129
0.75,216,0.3333,0.1111,0.8889,0.1056
0.8,231,0.3333,0.1039,0.8961,0.0987
0.85,245,0.3333,0.1429,0.8571,0.1357
0.9,260,0.2744,0.1577,0.8423,0.1498
0.95,274,0.2694,0.1606,0.8394,0.1526
1.0,289,0.2315,0.1626,0.8374,0.1545
